詞目id,漢字,異用字
4283,油炸粿,油車粿
4283,油炸粿,油車餜
4283,油炸粿,油炸餜
4296,欣羨,歆羨
4302,油蔥粿,油蔥餜
4320,炕,焢
4324,爸,父
4334,注文,註文
4338,爸母,父母
4344,炕肉,焢肉
4345,爸老囝幼,父老子幼
4345,爸老囝幼,爸老子幼
4345,爸老囝幼,父老囝幼
4346,炕肉飯,焢肉飯
4348,狗岫,狗巢
4349,狗空,狗孔
4351,物食,物噍
4360,炕菜頭,焢菜頭
4362,炊粿,炊餜
4364,炕窯,焢窰
4365,狗蝨,狗虱
4367,狗蟻,蚼蟻
4371,的,个
4378,祀,𫞼
4378,祀,在
4379,空,孔
4391,空厝間,空茨間
4394,空喙,空嘴
4394,空喙,孔喙
4394,空喙,孔嘴
4395,空喙哺舌,空嘴哺舌
4395,空喙哺舌,空嘴薄舌
4412,空縫,孔縫
4414,糾,勼
4423,芟,刪
4424,芡,焮
4427,芳,香
4428,芳水,香水
4434,芳瓜,香瓜
4440,芳味,香味
4446,芡芳,芡香
4446,芡芳,焮芳
4452,花莓,花苺
4453,芳料,香料
4455,芳粉,香粉
4457,花袂牢枝,花袂稠枝
4457,花袂牢枝,花𣍐牢枝
4457,花袂牢枝,花𣍐稠枝
4458,糾帶,勼帶
4463,糾筋,縮筋
4463,糾筋,勼筋
4483,虯,虬
4483,虯,𧺤
4510,虯毛,虬毛
4510,虯毛,𧺤毛
4525,長尻川,長尻瘡
4547,阿里不達,阿理不達
4553,表姊,表姐
4555,阿姊,阿姐
4560,青盲,青瞑
4561,青盲牛,青瞑牛
4563,阿舍囝,阿舍子
4564,虯虯,虬虬
4564,虯虯,𧺤𧺤
4568,青恂恂,青損損
4579,近倚,近偎
4608,門圈,門鏲
4616,長短跤話,長短骹話
4616,長短跤話,長短腳話
4621,阿媽,俺媽
4621,阿媽,阿嬤
4621,阿媽,俺嬤
4627,門跤口,門骹口
4627,門跤口,門腳口
4631,雨幔,雨𧜞
4639,青磅白磅,青碰白碰
4671,亭仔跤,亭仔骹
4671,亭仔跤,亭仔腳
4681,便媒人,便媒儂
4695,剉,剒
4704,前人囝,前人子
4704,前人囝,前儂子
4704,前人囝,前儂囝
4707,南爿,南旁
4723,削削叫,嗄嗄叫
4733,剉柴,剒柴
4771,咧,在
4771,咧,塊
4790,厚沙屑,厚砂屑
4801,哈唏,哈肺
4802,厚紙坯,厚紙胚
4804,咧欲,在要
4805,咬喙,咬嘴
4805,咬喙,齩喙
4816,厚薰,厚熏
4816,厚薰,厚煙
4823,奕,弈
4824,姦,幹
4827,契兄,客兄
4830,姼仔,七仔
4831,姼仔詼,七仔詼
4834,契囝,契子
4836,契爸,契父
4845,姦撟,幹譑
4856,峇,密
4860,客人,客儂
4871,幽幽仔疼,幽幽仔痛
4876,屎桮齒,屎篦齒
4880,封喙,封嘴
4881,度晬,度歲
4886,峇微,麻微
4910,拜公媽,拜公嬤
4918,後世人,後世儂
4929,後坐,後座
4937,後岫,後受
4937,後岫,後巢
4958,後鈕,後紐
4961,後跤,後骹
4961,後跤,後腳
4965,怨慼,怨切
4972,後頭厝,後頭茨
4973,後擴,後売
4979,挂,罣
4979,挂,掛
4998,曷,抑
5002,挑手爿,挑手旁
5016,昨昏,昨方
5018,挖空,挖孔
5022,按怎,安怎
5023,按怎樣,安怎樣
5027,指指揬揬,指指突突
5043,挖塗,挖土
5054,指頭仔,掌頭仔
5062,枵,飢
5062,枵,餓
5065,枷,椵
5067,某,姥
5074,柯,過
5074,柯,枯
5078,柳丁,柳橙
5079,某乜人,某物人
5079,某乜人,某乜儂
5079,某乜人,某物儂
5080,柳丁汁,柳橙汁
5081,某大姊,某大姐
5089,柱仔跤,柱仔骹
5089,柱仔跤,柱仔腳
5092,某囝,某子
5096,查某𡢃,查某嫺
5096,查某𡢃,查某嫻
5097,查某人,查某儂
5098,查某囝,查某子
5105,查埔,查甫
5105,查埔,查夫
5105,查埔,諸夫
5106,查埔人,查甫人
