義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
22718,幼工,細活、細工。精密細緻的工作。,28541,幼工課
22719,跤肚仁,指小腿肚的肌肉。,28544,跤肚肉
22719,跤肚仁,指小腿肚的肌肉。,28545,跤肚腱
22719,跤肚仁,指小腿肚的肌肉。,28546,跤後肚仁
22719,跤肚仁,指小腿肚的肌肉。,28547,跤後肚肉
22720,氣絲仔,微弱的氣息。,28549,命絲仔
22725,媽祖生,農曆三月二十三日為媽祖誕辰的日子。,28553,媽祖生日
22725,媽祖生,農曆三月二十三日為媽祖誕辰的日子。,28554,媽祖婆生日
22727,新娘桌,結婚喜宴中，新郎、新娘所坐的主桌。,28557,主桌
22728,酸微,形容物品微酸的味覺。,28559,酸甘
22729,銅仙,銅板。舊時銅製的貨幣。,28561,銅鐳
22731,倒勼,退縮。,28563,勼退
22731,倒勼,退縮。,28564,勼去
22732,有法度,有辦法、有能力。,28565,有辦法
22732,有法度,有辦法、有能力。,28566,有步
22732,有法度,有辦法、有能力。,28567,有步數
22732,有法度,有辦法、有能力。,28568,有才調
22737,屈勢,姿勢。亦可引申為從事某種工作的手法、作法或樣子。,26244,架勢
22740,臺票,新臺幣，簡稱臺幣。目前臺灣所使用的貨幣；臺幣有新、舊臺幣之分，現今一般所稱臺幣是指新臺幣。,28578,新臺票
22740,臺票,新臺幣，簡稱臺幣。目前臺灣所使用的貨幣；臺幣有新、舊臺幣之分，現今一般所稱臺幣是指新臺幣。,28579,臺幣
22740,臺票,新臺幣，簡稱臺幣。目前臺灣所使用的貨幣；臺幣有新、舊臺幣之分，現今一般所稱臺幣是指新臺幣。,28580,新臺幣
22753,擘腹,擔心、煩惱。,28739,掛念
22754,平波波,平坦。,28590,平坦坦
22754,平波波,平坦。,28591,平溜溜
22754,平波波,平坦。,28592,一字平
22758,跋臭,耍賴、賴皮。原意是賭博時，眼看自己就要輸了，就使手段讓賭局破局，引申為沒風度，拖優勢方下水，讓大家都成為輸家。,28595,挲烏面
22759,半病仔,喻指不中用、無能的人。,28597,半病
22761,㧣風,逆風前進。,28138,瀳風
22777,放尿攪沙袂做堆。,尿和沙子攪拌在一起，無法結成塊。比喻團體中的人各自為政，不團結。,28972,放尿搜沙袂做堆。
22782,好心好行，無衫通穿。,心地善良，樂於助人，卻落得衣不蔽體。比喻天道不公，沒有獎勵行善的人。,28980,做惡做毒，騎馬碌硞。
22783,放屎也疼，放尿也疼。,大便也痛，小便也疼。比喻遇到兩難，顧此失彼，左右為難。,28982,捏驚死，放驚飛。
22784,放屎也疼，放尿也疼。,形容為人處世很難兩邊得意，左右逢源。,28982,捏驚死，放驚飛。
22785,滿面全豆花。,整個臉搞到都是豆花。比喻把事搞砸了，結局狼狽不堪。,28984,人衰，滿面全豆花。
22789,別人的錢開袂疼。,別人的錢，怎麼花都不心疼。指有些人占他人便宜時不會手軟。,28990,別人的桌頂夾肉飼大家。
22789,別人的錢開袂疼。,別人的錢，怎麼花都不心疼。指有些人占他人便宜時不會手軟。,28991,公家錢開袂疼。
22793,老人囡仔性。,老人孩子氣。形容人年紀大了以後，性情反而像小孩子一樣。,28996,食老囡仔性。
22793,老人囡仔性。,老人孩子氣。形容人年紀大了以後，性情反而像小孩子一樣。,28997,老人像囡仔。
22793,老人囡仔性。,老人孩子氣。形容人年紀大了以後，性情反而像小孩子一樣。,28998,老人像細囝。
22793,老人囡仔性。,老人孩子氣。形容人年紀大了以後，性情反而像小孩子一樣。,28999,七十歲欶奶喙仔。
22793,老人囡仔性。,老人孩子氣。形容人年紀大了以後，性情反而像小孩子一樣。,29000,老人囡仔相。
22794,老人囡仔性。,形容一個年紀大的人變得固執不聽人勸。,28996,食老囡仔性。
22794,老人囡仔性。,形容一個年紀大的人變得固執不聽人勸。,28997,老人像囡仔。
22794,老人囡仔性。,形容一個年紀大的人變得固執不聽人勸。,28998,老人像細囝。
22794,老人囡仔性。,形容一個年紀大的人變得固執不聽人勸。,28999,七十歲欶奶喙仔。
22794,老人囡仔性。,形容一個年紀大的人變得固執不聽人勸。,29000,老人囡仔相。
22795,九頓米糕無上算，一頓冷糜抾起來囥。,餐餐招待糯米飯，都不當一回事，只讓他吃了一餐冷稀飯，卻牢記在心。引申為長久對他好卻不感恩，偶爾一次怠慢竟令他記恨在心。,29002,九頓米糕無上算，一頓冷糜抾去囥。
22795,九頓米糕無上算，一頓冷糜抾起來囥。,餐餐招待糯米飯，都不當一回事，只讓他吃了一餐冷稀飯，卻牢記在心。引申為長久對他好卻不感恩，偶爾一次怠慢竟令他記恨在心。,29003,九頓米糕毋上算，一頓凊糜抾起來餾。
22797,拚甲流汗，予人嫌甲流瀾。,認真做事做到汗流浹背，卻被人嫌棄到口沫橫飛。指人嗟嘆自己認真工作，不但得不到應有的稱讚、鼓勵，還被嫌棄得一文不值。,29006,做甲流汗，嫌甲流瀾。
22797,拚甲流汗，予人嫌甲流瀾。,認真做事做到汗流浹背，卻被人嫌棄到口沫橫飛。指人嗟嘆自己認真工作，不但得不到應有的稱讚、鼓勵，還被嫌棄得一文不值。,29007,盡心唱，嫌無聲。
22798,肉欲予人食，骨毋予人齧。,肉還可以讓人家吃，骨頭千萬不可被人家啃。指被欺負，委曲求全，但忍耐有一定的限度，不能被欺負太過。,29009,肉欲予你食，骨毋予你齧。
22798,肉欲予人食，骨毋予人齧。,肉還可以讓人家吃，骨頭千萬不可被人家啃。指被欺負，委曲求全，但忍耐有一定的限度，不能被欺負太過。,29010,食你的肉，無齧你的骨。
22798,肉欲予人食，骨毋予人齧。,肉還可以讓人家吃，骨頭千萬不可被人家啃。指被欺負，委曲求全，但忍耐有一定的限度，不能被欺負太過。,29011,肉予人食，骨毋通予人齧。
22798,肉欲予人食，骨毋予人齧。,肉還可以讓人家吃，骨頭千萬不可被人家啃。指被欺負，委曲求全，但忍耐有一定的限度，不能被欺負太過。,29012,肉予人食，骨毋成予人齧。
22799,肉欲予人食，骨毋予人齧。,形容傳統結婚時的習俗。結婚時男方送半條豬連同豬頭、豬尾給女方。女方收下部分豬肉但要將豬頭、豬腳、豬尾送還男方，這個儀式的精神在強調凡事要留餘地，不可趕盡殺絕。,29009,肉欲予你食，骨毋予你齧。
22799,肉欲予人食，骨毋予人齧。,形容傳統結婚時的習俗。結婚時男方送半條豬連同豬頭、豬尾給女方。女方收下部分豬肉但要將豬頭、豬腳、豬尾送還男方，這個儀式的精神在強調凡事要留餘地，不可趕盡殺絕。,29010,食你的肉，無齧你的骨。
22799,肉欲予人食，骨毋予人齧。,形容傳統結婚時的習俗。結婚時男方送半條豬連同豬頭、豬尾給女方。女方收下部分豬肉但要將豬頭、豬腳、豬尾送還男方，這個儀式的精神在強調凡事要留餘地，不可趕盡殺絕。,29011,肉予人食，骨毋通予人齧。
22799,肉欲予人食，骨毋予人齧。,形容傳統結婚時的習俗。結婚時男方送半條豬連同豬頭、豬尾給女方。女方收下部分豬肉但要將豬頭、豬腳、豬尾送還男方，這個儀式的精神在強調凡事要留餘地，不可趕盡殺絕。,29012,肉予人食，骨毋成予人齧。
