詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
379,主詞目,上帝,Siōng-tè,神明、鬼怪、教派,379(1)
380,主詞目,上帝公,Siōng-tè-kong,神明、鬼怪、教派,380(1)
381,主詞目,三思,sàm-su,心理活動,381(1)
382,主詞目,大後日,tuā-āu--ji̍t/tuā-āu--li̍t,時間節令,382(1)
383,主詞目,大後年,tuā-āu--nî,時間節令,383(1)
384,主詞目,山後鳥,suann-āu-tsiáu,禽類,384(1)
385,主詞目,也是,iā sī,副詞,385(1)
386,主詞目,才是,tsiah-sī,副詞,386(1)
387,主詞目,大昨日,tuā-tso̍h--ji̍t/tuā-tso̍h--li̍t,時間節令,387(1)
388,主詞目,大某,tuā-bóo,"宗族、家庭,稱謂輩分",388(1)
389,主詞目,山洞,suann-tōng,"地理,自然現象",389(1)
390,主詞目,三牲,sam-sing,"食物、飲料、煙酒,相關器具、活動",390(1)
391,主詞目,三界公,Sam-kài-kong,神明、鬼怪、教派,391(1)
392,主詞目,三界娘仔,sam-kài-niû-á,"魚蝦海獸,食物、飲料、煙酒",392(1)
393,主詞目,山珍海味,san-tin-hái-bī,食物、飲料、煙酒,393(1)
394,主詞目,山苳蒿,suann-tang-o,"蔬果作物,醫療保健,食物、飲料、煙酒",394(1)
395,主詞目,低音,kē-im,戲劇、音樂,395(1)
396,主詞目,乞食,khit-tsia̍h,地位、身世、背景,396(1)
397,主詞目,口面,kháu-bīn,空間方位,397(1)
398,主詞目,口音,kháu-im,語言、文字、符號,398(1)
399,主詞目,乞食命,khit-tsia̍h-miā,生活狀況,399(1)
400,主詞目,大面神,tuā-bīn-sîn,"個性風格,道德評價",400(1)
401,主詞目,乞食琴,khit-tsia̍h-khîm,戲劇、音樂,401(1)
402,主詞目,乞食頭,khit-tsia̍h-thâu,地位、身世、背景,402(1)
403,主詞目,土匪,thóo-huí,地位、身世、背景,403(1)
404,主詞目,大厝,tuā-tshù,"生養老死,建築物、結構",404(1)
405,主詞目,大哥,tuā-ko,"宗族、家庭,稱謂輩分",405(1)
406,主詞目,低厝仔,kē-tshù-á,建築物、結構,406(1)
407,主詞目,大娘姑,tuā-niû-koo,"宗族、家庭,稱謂輩分",407(1)
408,主詞目,口座,kháu-tsō,錢財資產,408(1)
409,主詞目,土師,thóo-sai,地位、身世、背景,409(1)
410,主詞目,大孫,tuā-sun,"宗族、家庭,稱謂輩分",410(1)
411,主詞目,大家,ta-ke,"宗族、家庭,稱謂輩分",411(1)
412,主詞目,子宮,tsú-kiong,生理構造,412(1)
413,主詞目,山崁,suann-khàm,"地理,自然現象",413(1)
414,主詞目,大家口,tuā-ke-kháu,宗族、家庭,414(1)
415,主詞目,大家官,ta-ke-kuann,"宗族、家庭,稱謂輩分",415(1)
416,主詞目,子時,tsú-sî,時間節令,416(1)
417,主詞目,上桌,tsiūnn-toh,飲食行為,417(1)
418,主詞目,口氣,kháu-khì,氣質態度,418(1)
419,主詞目,大氣,tāi-khì,天文,419(1)
420,主詞目,大氣,tuā-khuì,反應、表情,420(1)
421,主詞目,大氣喘,tuā-khuì-tshuán,傷疾病痛,421(1)
422,主詞目,干涉,kan-sia̍p,待人處事,422(1)
423,主詞目,低級,kē-kip,"地位、身世、背景,性質、程度",423(1)
424,主詞目,大陣,tuā tīn,數詞、量詞,424(1)
425,主詞目,小鬼仔殼,siáu-kuí-á-khak,休閒、娛樂,425(1)
426,主詞目,三除四扣,sann-tû-sì-khàu,錢財資產,426(1)
427,主詞目,上崎,tsiūnn-kiā,地理,427(1)
428,主詞目,山崙,suann-lūn,"地理,自然現象",428(1)
429,主詞目,才情,tsâi-tsîng,才智能力,429(1)
430,主詞目,三教,sam-kàu,神明、鬼怪、教派,430(1)
431,主詞目,下晝,ē-tàu,時間節令,431(1)
432,主詞目,下晡,ē-poo,時間節令,432(1)
433,主詞目,小票,sió-phiò,錢財資產,433(1)
434,主詞目,三絃,sam-hiân,戲劇、音樂,434(1)
435,主詞目,大細,tuā-sè/tuā-suè,"形貌、體積,性質、程度",435(1)
436,主詞目,大細心,tuā-sè-sim/tuā-suè-sim,"個性風格,心理狀態,待人處事",436(1)
437,主詞目,大細目,tuā-sè-ba̍k/tuā-suè-ba̍k,"生理構造,個性風格,心理狀態,待人處事",437(1)
438,主詞目,山頂,suann-tíng,"地理,自然現象",438(1)
439,主詞目,工場,kang-tiûnn,科技、工業,439(1)
440,主詞目,大富,tuā-pù,生活狀況,440(1)
441,主詞目,大寒,tuā-kuânn,"氣候溫度,時間節令",441(1)
442,主詞目,大富大貴,tuā-hù-tuā-kuì,,442(1)
443,主詞目,大摒掃,tuā-piànn-sàu,生活勞動,443(1)
444,主詞目,上殕,tshiūnn-phú,"自然現象,植物形體、狀態,食物、飲料、煙酒",444(1)
445,主詞目,下港,ē-káng,"地理,空間方位",445(1)
446,主詞目,大港,tuā-káng,地理,446(1)
447,主詞目,大湧,tuā-íng,自然現象,447(1)
448,主詞目,干焦,kan-na,副詞,448(1)
449,主詞目,下痟,hā-siau,"才智能力,傷疾病痛",449(1)
450,主詞目,口琴,kháu-khîm,戲劇、音樂,450(1)
451,主詞目,工程,kang-tîng,科技、工業,451(1)
452,主詞目,工程師,kang-tîng-su,科技、工業,452(1)
453,主詞目,上等,siōng-tíng,性質、程度,453(1)
454,主詞目,大筒,tuā-tâng,"醫療保健,生活用品",454(1)
455,主詞目,小等,sió-tán,一般動詞-靜態動詞,455(1)
456,主詞目,土菝仔,thóo-pua̍t-á,"蔬果作物,醫療保健,食物、飲料、煙酒",456(1)
457,主詞目,上訴,siōng-sòo,法律,457(1)
458,主詞目,大量,tāi-liōng,,458(1)
459,主詞目,弓開,king--khui,性質、程度,459(1)
460,主詞目,凡勢,huān-sè,副詞,460(1)
461,主詞目,山勢,suann-sè,"地理,自然現象",461(1)
462,主詞目,土想,thóo-siūnn,心理活動,462(1)
463,主詞目,下暗,e-àm,時間節令,463(1)
464,主詞目,工會,kang-huē,"組織團體,相關用語",464(1)
465,主詞目,工業,kang-gia̍p,科技、工業,465(1)
466,主詞目,才會,tsiah ē,連詞、介詞,466(1)
467,主詞目,山溝,suann-kau,"地理,自然現象",467(1)
468,主詞目,山盟海誓,san-bîng-hái-sè,性質、程度,468(1)
469,主詞目,下落,hē-lo̍h,境況、狀態-擬人,469(1)
470,主詞目,千萬,tshian-bān,"數詞、量詞,副詞",470(1)
471,主詞目,大腸,tuā-tn̂g,"生理構造,食物、飲料、煙酒",471(1)
472,主詞目,大舅,tuā-kū,"宗族、家庭,稱謂輩分",472(1)
473,主詞目,小腸,sió-tn̂g,"生理構造,食物、飲料、煙酒",473(1)
474,主詞目,山腰,suann-io,"地理,自然現象",474(1)
475,主詞目,大腹肚,tuā-pak-tóo,生養老死,475(1)
476,主詞目,口試,kháu-tshì,"相關用語,教育、學術",476(1)
477,主詞目,下跤,ē-kha,空間方位,477(1)
478,主詞目,土話,thóo-uē,國家、社會、民眾,478(1)
479,主詞目,大話,tuā-uē,氣質態度,479(1)
480,主詞目,山貉,suann-hô,獸類,480(1)
481,主詞目,山賊,suann-tsha̍t,"泛稱,地位、身世、背景",481(1)
482,主詞目,山跤,suann-kha,"地理,自然現象",482(1)
483,主詞目,下跤手人,ē-kha-tshiú-lâng,"泛稱,相關用語",483(1)
484,主詞目,大跤胴,tuā-kha-tâng,體態樣貌,484(1)
485,主詞目,三跤馬,sann-kha-bé,生活用品,485(1)
486,主詞目,三跤貓,sann-kha-niau,泛稱,486(1)
487,主詞目,低路,kē-lōo,才智能力,487(1)
488,主詞目,大路,tuā-lōo,"個性風格,道路、橋梁",488(1)
489,主詞目,小路,sió-lōo,道路、橋梁,489(1)
490,主詞目,大道公,Tāi-tō-kong,神明、鬼怪、教派,490(1)
491,主詞目,三頓,sann tǹg,食物、飲料、煙酒,491(1)
492,主詞目,山雺,suann-bông,"天文,自然現象",492(1)
493,主詞目,大鼓,tuā-kóo,戲劇、音樂,493(1)
494,主詞目,大壽,tuā-siū,"生養老死,婚喪喜慶",494(1)
495,主詞目,大漢,tuā-hàn,生養老死,495(1)
496,主詞目,大箍,tuā-khoo,"體態樣貌,形貌、體積,數詞、量詞",496(1)
497,主詞目,大箍呆,tuā-khoo-tai,體態樣貌,497(1)
498,主詞目,上緊,siōng kín,"時間節令,性質、程度",498(1)
499,主詞目,大腿,tuā-thuí,生理構造,499(1)
500,主詞目,大腿骨,tuā-thuí-kut,生理構造,500(1)
501,主詞目,上蓋,siōng-kài,副詞,501(1)
502,主詞目,小說,sió-suat,文學、藝術,502(1)
503,主詞目,大銀,tuā-gîn/tuā-gûn,相關器具、活動,503(1)
504,主詞目,小銀,sió-gîn/sió-gûn,相關器具、活動,504(1)
505,主詞目,亡魂,bông-hûn,"生養老死,相關器具、活動",505(1)
506,主詞目,大餅,tuā-piánn,"性別、婚姻,婚喪喜慶,事、物泛稱",506(1)
507,主詞目,三層,sam-tsân,"動物形體、行為,食物、飲料、煙酒",507(1)
508,主詞目,工寮,kang-liâu,建築物、結構,508(1)
509,主詞目,工廠,kang-tshiúnn,"科技、工業,建築物、結構",509(1)
510,主詞目,三層肉,sam-tsân-bah,食物、飲料、煙酒,510(1)
511,主詞目,大廣絃,tuā-kóng-hiân,戲劇、音樂,511(1)
512,主詞目,小數,sió-sòo,"性質、程度,數詞、量詞",512(1)
513,主詞目,干樂,kan-lo̍k,休閒、娛樂,513(1)
514,主詞目,大熱,tuā-jua̍h/tuā-lua̍h,氣候溫度,514(1)
515,主詞目,大範,tuā-pān,氣質態度,515(1)
516,主詞目,山線,suann-suànn,道路、橋梁,516(1)
517,主詞目,三線路,sam-suànn-lōo,道路、橋梁,517(1)
518,主詞目,上課,siōng-khò,教育、學術,518(1)
519,主詞目,工課,khang-khuè,"相關用語,生活勞動",519(1)
520,主詞目,才調,tsâi-tiāu,才智能力,520(1)
521,主詞目,大賣,tuā-bē/tuā-buē,商業,521(1)
522,主詞目,小賣,sió-bē/sió-buē,商業,522(1)
523,主詞目,山豬,suann-ti/suann-tu,獸類,523(1)
524,主詞目,下輩,ē-puè,稱謂輩分,524(1)
525,主詞目,三輪車,sann-lián-tshia,交通、運輸,525(1)
526,主詞目,下頦,ē-hâi,生理構造,526(1)
527,主詞目,大學,tāi-ha̍k,教育、學術,527(1)
528,主詞目,小學,sió-ha̍k,教育、學術,528(1)
529,主詞目,弓蕉,king-tsio,"蔬果作物,食物、飲料、煙酒",529(1)
530,主詞目,弓蕉油,king-tsio-iû,"科技、工業,食物、飲料、煙酒",530(1)
531,主詞目,山貓,suann-niau,獸類,531(1)
532,主詞目,口頭,kháu-thâu,語言、文字、符號,532(1)
533,主詞目,山頭,suann-thâu,"地理,自然現象,生養老死,婚喪喜慶",533(1)
534,主詞目,工頭,kang-thâu,相關用語,534(1)
535,主詞目,上頭仔,siōng-thâu-á,性質、程度,535(1)
536,主詞目,大頭拇,tuā-thâu-bú,生理構造,536(1)
537,主詞目,大頷胿,tuā-ām-kui,"氣質態度,傷疾病痛",537(1)
538,主詞目,大頭菜,tuā-thâu-tshài,"蔬果作物,食物、飲料、煙酒",538(1)
539,主詞目,大戲,tuā-hì,戲劇、音樂,539(1)
540,主詞目,山嶺,suann-niá,"地理,自然現象",540(1)
541,主詞目,土檨仔,thóo-suāinn-á,"蔬果作物,食物、飲料、煙酒",541(1)
542,主詞目,上濟,siōng tsē/siōng tsuē,副詞,542(1)
543,主詞目,上聲,sióng-siann,語言、文字、符號,543(1)
544,主詞目,大聲,tuā-siann,"反應、表情,待人處事",544(1)
545,主詞目,大膽,tuā-tánn,個性風格,545(1)
546,主詞目,大聲話,tuā-siann-uē,氣質態度,546(1)
547,主詞目,下擺,ē-pái,時間節令,547(1)
548,主詞目,小嬸,sió-tsím,"宗族、家庭,稱謂輩分",548(1)
549,主詞目,土雞仔,thóo-ke-á/thóo-kue-á,"禽類,相關用語",549(1)
550,主詞目,下顎,ē-kok,生理構造,550(1)
551,主詞目,工藝,kang-gē,休閒、娛樂,551(1)
552,主詞目,下願,hē-guān,心理活動,552(1)
553,主詞目,大龐,tuā-phiāng,體態樣貌,553(1)
554,主詞目,大麵,tuā-mī,食物、飲料、煙酒,554(1)
555,主詞目,大欉,tuā-tsâng,"植物形體、狀態,體態樣貌",555(1)
556,主詞目,大廳,tuā-thiann,建築物、結構,556(1)
557,主詞目,不,put,副詞,557(1)
558,主詞目,丑,thiú,"時間節令,服務業及其他",558(1)
559,主詞目,中,【白】tìng,一般動詞-靜態動詞,559(1)
560,主詞目,中,【文】tiong,空間方位,560(1)
561,主詞目,中,【文】tiòng,"一般動詞-行為動詞,一般動詞-靜態動詞",561(1)
562,主詞目,丹,tan,"醫療保健,相關器具、活動,顏色、氣味",562(1)
563,主詞目,之,tsi,"代名詞,連詞、介詞",563(1)
564,主詞目,予,hōo,"一般動詞-行為動詞,連詞、介詞",564(1)
565,主詞目,五,【白】gōo,數詞、量詞,565(1)
566,主詞目,五,【文】ngóo,數詞、量詞,566(1)
567,主詞目,井,【白】tsénn/tsínn,"生活用品,居住環境",567(1)
568,主詞目,仁,jîn/lîn,"道德評價,形貌、體積,事、物泛稱",568(1)
569,主詞目,仄,tseh,語言、文字、符號,569(1)
570,主詞目,仆,phak,肢體動作,570(1)
571,主詞目,仇,siû,待人處事,571(1)
572,主詞目,今【替】,tann,時間節令,572(1)
573,主詞目,允,ín/ún,一般動詞-行為動詞,573(1)
574,主詞目,內,【白】lāi,空間方位,574(1)
575,主詞目,內,【文】luē,空間方位,575(1)
576,主詞目,公,【白】kang,動物形體、行為,576(1)
577,主詞目,公,【文】kong,"地位、身世、背景,稱謂輩分,境況、狀態-擬事,性質、程度",577(1)
578,主詞目,六,【白】la̍k,數詞、量詞,578(1)
579,主詞目,六,【文】lio̍k,數詞、量詞,579(1)
580,主詞目,冇【替】,phànn,"生活狀況,建築物、結構,性質、程度",580(1)
581,主詞目,冗,līng,"形貌、體積,性質、程度,一般動詞-靜態動詞",581(1)
582,主詞目,冗,liōng,性質、程度,582(1)
583,主詞目,凶,hiong,"個性風格,境況、狀態-擬事",583(1)
584,主詞目,分,【文】hun,"一般動詞-行為動詞,數詞、量詞",584(1)
585,主詞目,分,【白】pun,一般動詞-行為動詞,585(1)
586,主詞目,切,tshiat,一般動詞-行為動詞,586(1)
587,主詞目,勻【替】,ûn,"稱謂輩分,數詞、量詞",587(1)
588,主詞目,勼,kiu,"氣質態度,一般動詞-活動動詞",588(1)
589,主詞目,勾,kau,一般動詞-行為動詞,589(1)
590,主詞目,內䘥仔,lāi-kah-á,衣帽鞋襪,590(1)
591,主詞目,中人,tiong-lâng,服務業及其他,591(1)
592,主詞目,允人,ín--lâng/ún--lâng,一般動詞-行為動詞,592(1)
593,主詞目,不才,put-tsâi,稱謂輩分,593(1)
594,主詞目,內山,lāi-suann,"地理,自然現象",594(1)
595,主詞目,內才,lāi-tsâi,才智能力,595(1)
596,主詞目,分寸,hun-tshùn,"氣質態度,待人處事",596(1)
597,主詞目,不三不四,put-sam-put-sù,道德評價,597(1)
598,主詞目,不仁,put-jîn/put-lîn,道德評價,598(1)
599,主詞目,中元,Tiong-guân,"時間節令,生活狀況,相關器具、活動",599(1)
600,主詞目,五仁,ngóo-jîn/ngóo-lîn,"個性風格,食物、飲料、煙酒,語言、文字、符號",600(1)
601,主詞目,仁丹,jîn-tan/lîn-tan,醫療保健,601(1)
602,主詞目,內公,lāi-kong,"宗族、家庭,稱謂輩分",602(1)
603,主詞目,公元,kong-guân,時間節令,603(1)
604,主詞目,公分,kong-pun,一般動詞-行為動詞,604(1)
605,主詞目,公分,kong-hun,數詞、量詞,605(1)
606,主詞目,勻勻仔,ûn-ûn-á,心理狀態,606(1)
607,主詞目,勻勻仔火,ûn-ûn-á-hué/ûn-ûn-á-hé,自然現象,607(1)
608,主詞目,五分仔車,gōo-hun-á-tshia,交通、運輸,608(1)
609,主詞目,不中用,put-tiòng-iōng,"泛稱,性質、程度",609(1)
610,主詞目,五分車,gōo-hun-tshia,交通、運輸,610(1)
611,主詞目,不止,put-tsí,"性質、程度,副詞",611(1)
612,主詞目,中心,tiong-sim,空間方位,612(1)
613,主詞目,井水,tsénn-tsuí/tsínn-tsuí,"生活用品,居住環境",613(1)
614,主詞目,內心,luē-sim,心理狀態,614(1)
615,主詞目,公文,kong-bûn,政治,615(1)
616,主詞目,公斤,kong-kin/kong-kun,數詞、量詞,616(1)
617,主詞目,冇手,phànn-tshiú,個性風格,617(1)
618,主詞目,切手,tshiat-tshiú,郵電、網路,618(1)
619,主詞目,勼手,kiu-tshiú,一般動詞-行為動詞,619(1)
620,主詞目,勼水,kiu-tsuí,衣帽鞋襪,620(1)
621,主詞目,勾引,kau-ín,一般動詞-行為動詞,621(1)
622,主詞目,六月天,la̍k-gue̍h-thinn/la̍k-ge̍h-thinn,時間節令,622(1)
623,主詞目,不止仔,put-tsí-á,副詞,623(1)
624,主詞目,六月冬,la̍k-gue̍h-tang/la̍k-ge̍h-tang,"時間節令,蔬果作物,農林業",624(1)
625,主詞目,五日節,Gōo-ji̍t-tseh/Gōo-li̍t-tsueh,"時間節令,生活狀況,相關器具、活動",625(1)
626,主詞目,五月節,Gōo-gue̍h-tseh/Gōo-ge̍h-tsueh,"時間節令,生活狀況,相關器具、活動",626(1)
627,主詞目,丑仔,thiú-á,"戲劇、音樂,休閒、娛樂",627(1)
628,主詞目,今仔,tann-á,時間節令,628(1)
629,主詞目,今仔日,kin-á-ji̍t/kin-á-li̍t,時間節令,629(1)
630,主詞目,勻仔是,ûn-á-sī,心理狀態,630(1)
631,主詞目,中古,tiong-kóo,"時間節令,境況、狀態-擬物",631(1)
632,主詞目,內外,lāi-guā,空間方位,632(1)
633,主詞目,五加皮,ngóo-ka-pî,食物、飲料、煙酒,633(1)
634,主詞目,內奶,lāi-ling/lāi-ni,交通、運輸,634(1)
635,主詞目,公平,kong-pênn/kong-pînn,心理狀態,635(1)
636,主詞目,公母,kang-bó,事、物泛稱,636(1)
637,主詞目,公民,kong-bîn,國家、社會、民眾,637(1)
638,主詞目,中用,tiòng-iōng,"泛稱,性質、程度",638(1)
639,主詞目,中立,tiong-li̍p,"氣質態度,待人處事",639(1)
640,主詞目,丹田,tan-tiân,生理構造,640(1)
641,主詞目,公用,kong-iōng,"境況、狀態-擬物,性質、程度",641(1)
642,主詞目,冇石仔,phànn-tsio̍h-á,資源礦物,642(1)
643,主詞目,予伊,hōo i,連詞、介詞,643(1)
644,主詞目,介在,kài-tsāi,副詞,644(1)
645,主詞目,公共,kong-kiōng,"境況、狀態-擬物,擬聲、擬態",645(1)
646,主詞目,六合,lio̍k-ha̍p,空間方位,646(1)
647,主詞目,今年,kin-nî,時間節令,647(1)
648,主詞目,內地,lāi-tē/lāi-tuē,"地理,自然現象",648(1)
649,主詞目,凶年,hiong-nî,生活狀況,649(1)
650,主詞目,中旬,tiong-sûn,時間節令,650(1)
651,主詞目,冗早,liōng-tsá,副詞,651(1)
652,主詞目,不死鬼,put-sú-kuí,,652(1)
653,主詞目,內行,lāi-hâng,"相關用語,才智能力",653(1)
654,主詞目,內行的,lāi-hâng--ê,泛稱,654(1)
655,主詞目,不而過,put-jî-kò/put-lî-kò,副詞,655(1)
656,主詞目,不但,put-tān,連詞、介詞,656(1)
657,主詞目,分伻,pun-phenn,一般動詞-行為動詞,657(1)
658,主詞目,分別,hun-pia̍t,"心理活動,一般動詞-靜態動詞",658(1)
659,主詞目,不孝,put-hàu,道德評價,659(1)
660,主詞目,不求人,put-kiû-jîn/put-kiû-lîn,"生活用品,休閒、娛樂",660(1)
661,主詞目,公里,kong-lí,數詞、量詞,661(1)
662,主詞目,分身,hun-sin,"泛稱,相關用語",662(1)
663,主詞目,公事,kong-sū,相關用語,663(1)
664,主詞目,中和,tiong-hô,"地理,科技、工業,境況、狀態-擬事",664(1)
665,主詞目,內底,lāi-té/lāi-tué,空間方位,665(1)
666,主詞目,公所,kong-sóo,政治,666(1)
667,主詞目,不服,put-ho̍k,心理狀態,667(1)
668,主詞目,分明,hun-bîng,副詞,668(1)
669,主詞目,不法,put-huat,法律,669(1)
670,主詞目,六法全書,Lio̍k-huat-tsuân-su,法律,670(1)
671,主詞目,公的,kang--ê,"動物形體、行為,植物形體、狀態",671(1)
672,主詞目,分的,pun--ê,"地位、身世、背景,性質、程度",672(1)
673,主詞目,五金,ngóo-kim,"資源礦物,科技、工業,生產工具",673(1)
674,主詞目,五金行,ngóo-kim-hâng,"科技、工業,生活用品,建築物、結構",674(1)
675,主詞目,中指,tiong-tsáinn,生理構造,675(1)
676,主詞目,內政,luē-tsìng,政治,676(1)
677,主詞目,五柳居,ngóo-liú-ki/ngóo-liú-ku,食物、飲料、煙酒,677(1)
678,主詞目,中毒,tiòng-to̍k,傷疾病痛,678(1)
679,主詞目,丹毒,tan-to̍k,傷疾病痛,679(1)
680,主詞目,冇炭,phànn-thuànn,"資源礦物,廢棄物",680(1)
681,主詞目,分派,hun-phài,一般動詞-行為動詞,681(1)
682,主詞目,中秋,Tiong-tshiu,"時間節令,生活狀況,相關器具、活動",682(1)
683,主詞目,內科,lāi-kho,醫療保健,683(1)
684,主詞目,中秋節,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,"時間節令,生活狀況,相關器具、活動",684(1)
685,主詞目,中秋餅,Tiong-tshiu-piánn,"食物、飲料、煙酒,相關器具、活動",685(1)
686,主詞目,中計,tiòng-kè,一般動詞-行為動詞,686(1)
687,主詞目,內衫,lāi-sann,衣帽鞋襪,687(1)
688,主詞目,中風,tiòng-hong,傷疾病痛,688(1)
689,主詞目,五香,ngóo-hiang,食物、飲料、煙酒,689(1)
690,主詞目,元首,guân-siú,"國家、社會、民眾,地位、身世、背景,政治",690(1)
691,主詞目,內面,lāi-bīn,空間方位,691(1)
692,主詞目,允准,ín-tsún/ún-tsún,心理活動,692(1)
693,主詞目,內套,lāi-thò,衣帽鞋襪,693(1)
694,主詞目,元宵,Guân-siau,"時間節令,生活狀況,相關器具、活動",694(1)
695,主詞目,內孫,lāi-sun,"宗族、家庭,稱謂輩分",695(1)
696,主詞目,內容,luē-iông,事、物泛稱,696(1)
