義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
1374,支持,協助、贊同。,4532,抗議,用抗爭的方式對別人的行為或一個被決定的措施提出反對的意見。
1375,毋挃,不要。,6981,挃,要、欲。
1376,毋是,不是。,7014,是,表示肯定判斷語，用來說明主詞，一般後面跟著名詞。
1385,歹看,難看的、醜陋的。,3255,好看,看起來舒適、美觀。
1385,歹看,難看的、醜陋的。,7611,美麗,形容女子容貌漂亮、俏麗。
1391,手面,手掌。,1562,手盤,手背。
1399,毋值,不值得。,8036,值得,所付出的代價和所得到的回報相當。
1400,毋值,不如、比不上。,7980,值,比得過、比得上。
1401,毋准,不允許、不答應。,939,允准,允許、准許。
1401,毋准,不允許、不答應。,7987,准,允許、許可。
1401,毋准,不允許、不答應。,10895,許可,准許、答應。
1401,毋准,不允許、不答應。,12240,答應,允許、承諾。
1412,日時,白天。,14458,暝,夜、晚。
1431,少缺,不缺、多得很。多用在反詰口氣。,1076,少,多的相反。大多用於可計數之實體性物質。
1431,少缺,不缺、多得很。多用在反詰口氣。,22574,缺欠,缺乏。
1438,天堂,信仰宗教者以為人死後居住的快樂世界。,3323,地獄,宗教上所指人死後亡靈受審判和處罰的地方。引申為充滿黑暗、痛苦的環境。
1443,毋情願,不情不願。,2606,甘心,寧願、情願。自己願意，沒有半點勉強。
1443,毋情願,不情不願。,2780,甘願,寧願、情願。自己願意，沒有半點勉強。
1443,毋情願,不情不願。,10099,情願,甘心、願意。
1456,毋通,不可以、不要。是一種語氣較委婉的勸說或請求。,10960,通,可以。
1462,歹喙,常說不得體、負面的話。,3283,好喙,嘴巴甜。
1463,歹喙斗,挑嘴。形容人對食物很挑剔。,3285,好喙斗,形容不挑食，什麼都吃。
1471,毋敢,不敢。心中怯懦，以致於不能付諸行動。,11623,敢,有膽識，毫不畏懼的。
1476,歹款,壞習慣。不懂禮教，多指吃東西的習慣或行為不好。,3290,好款,本義為脾氣好、教養好，現今常用在反諷，意思和「歹款」(pháinn-khuán)相同。
1478,天然,自然形成、天生的，不是人為的。,196,人造,由人工製造而成的。
1489,毋著,不對。,11850,無毋著,沒錯。
1489,毋著,不對。,12344,著,對。
1490,文雅,優美、高雅。,10788,粗魯,粗暴魯莽。
1493,歹勢,不好意思、對不起、抱歉。,3296,好勢,好意思，常用在反詰的語氣。
1497,歹意,惡意。,3299,好意,美意、善意。
1498,月暗暝,暗夜、月黑天。沒有月光的夜晚。,1244,月光暝,月夜。有月光的夜晚。
1512,歹話,壞話。毀謗或攻訐他人的言論。,3312,好話,讚美、好聽的話。
1513,歹話,詛咒。不祥的言語、詛咒人家的言語。,3313,好話,吉祥話。
1517,歹路,指不好的途徑、方向。,2438,正途,正業、正路。正確的路途、行業。
1517,歹路,指不好的途徑、方向。,2470,正路,正當的途徑。引申為做好人，行好事。
1518,歹運,背運、倒楣。運氣不好。,3316,好運,運氣好。
1518,歹運,背運、倒楣。運氣不好。,5394,幸運,好運氣。
1533,夭壽,夭折。短命早死。,6422,長命,長壽、高壽。
1533,夭壽,夭折。短命早死。,6504,長歲壽,長壽、長命、高壽。
1533,夭壽,夭折。短命早死。,6510,長壽,長命、高壽。壽命很長。
1539,反對,不贊成。,1374,支持,協助、贊同。
1539,反對,不贊成。,3097,同意,贊成、認可。
1539,反對,不贊成。,12240,答應,允許、承諾。
1539,反對,不贊成。,17502,贊成,同意。
1557,欠數,欠帳。,16914,還數,還債。償還所積欠的債款。
1557,欠數,欠帳。,16916,還錢,償還所欠下的金錢。
1562,手盤,手背。,1336,手底,手掌。
1562,手盤,手背。,1391,手面,手掌。
1562,手盤,手背。,18486,手捗,手掌、手模。
