義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
19386,著獎,中獎。因彩券、獎券或統一發票等對中號碼，而獲得獎品或獎金。,13122,摃龜,希望落空或是彩頭沒中。源自日語。
19389,覕鬚,收斂、不敢招搖。,9150,臭屁,形容人喜歡誇大炫耀，自以為是的樣子。
19389,覕鬚,收斂、不敢招搖。,16809,聳鬚,引申為囂張、逞威風。
19393,貿貨底,把貨商賣剩的存貨用低價全部買下來。,5118,卸貨底,出清存貨。
19399,韌命,有韌性、生命力強，經得起磨難。,22880,脆命,短命。生命力弱。
19408,幌頭,搖頭。,14967,頕頭,點頭。頭上下微動，以表示允諾、贊許、領會等意思。
19409,幌頭,引申指不欣賞、不贊同、沒指望等。,14967,頕頭,點頭。頭上下微動，以表示允諾、贊許、領會等意思。
19429,會跤,參加民間儲蓄互助會的一般會員，相對於發起人「會頭」(huē-thâu)而言。,13224,會頭,會首。現多指民間儲蓄互助會的發起人。
19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,3662,至少,最少、最低限度。
19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,9408,起碼,至少。
19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,18773,上無,至少、起碼。
19442,矮仔冬瓜,矮冬瓜。對矮小的人的謔稱。,21947,躼跤蠓,高個子。稱身材高的人。
19443,矮鼓,指身材矮小的意思。,18239,躼,形容人長得高。
19444,矮頓,矮壯。身材矮壯。,18583,高長,高大、大塊頭。
19463,恩情人,恩人、對自己有恩的人。,8002,冤仇人,仇人、冤家。
19477,跳踢,活躍、活潑、起興。,3548,死趖,動作遲鈍不活潑，做事情慢吞吞。
19489,寢頭,起初、起先。剛開始的時候。,6922,後來,指一段時間之後。
19489,寢頭,起初、起先。剛開始的時候。,13613,落尾,後來、最後。
19489,寢頭,起初、起先。剛開始的時候。,13614,落尾手,後來、最後。
19489,寢頭,起初、起先。剛開始的時候。,18662,路尾,後來、最後。
19492,對頭風,迎面而來的逆風。,12725,順風,順著風勢。
19508,綿精,鍥而不捨、汲汲營營。為達目的，想盡辦法，堅持到底，有時甚至到糾纏不休惹人厭的程度。,11970,無攬無拈,無精打采、沒精神，提不起勁的樣子。
19508,綿精,鍥而不捨、汲汲營營。為達目的，想盡辦法，堅持到底，有時甚至到糾纏不休惹人厭的程度。,17383,懶屍,懶惰。
19513,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。,4402,扭掠,形容手腳快、動作敏捷。
19513,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。,23179,緊跤緊手,快手快腳。指做事情動作敏捷快速。
19548,燒烘烘,溫度很高、很悶熱，或由於炎症、發燒造成的身體熱度很高。,3990,冷吱吱,冷冰冰。形容非常冷。
19549,燒唿唿,熱呼呼、熱騰騰。,3990,冷吱吱,冷冰冰。形容非常冷。
19568,頭兄,首腦人物。,13827,跤仔,嘍囉、部下。小角色、跑腿的。
19610,懸頂,上面、上頭。,648,下跤,下面、底下。
19629,儼硬,硬朗。,9237,荏身,身體虛弱。
19640,變無魍,搞不出花樣。,18086,變竅,通權達變、隨機應變。
19640,變無魍,搞不出花樣。,22066,變撚,懂得變通，找到新方法解決問題。
19642,豔色,顏色豔麗。,14558,漚色,顏色灰暗。
19656,大趁錢,發大財、賺大錢。常用來說好話祝福人發大財、賺大錢。,21935,末趁,低獲利。扣除營運成本後的純益很少。
19661,無局,沒有趣味、乏味。,22404,心適興,好玩的、有趣的、產生興趣的、引發興味的。
19665,一時仔,一下子。一段不長的時間。,21887,規半晡,大半天、老半天，指一天當中的一段長時間。
19666,入去,進去。從外面進到裡面。,2068,出來,自內而出。發話者不在裡面。語氣完結時唸作tshut--lâi。
19669,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。,19671,細的,小弟、手下。稱呼團體中位階較低者，是比較俚俗的用法。
19669,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。,22451,細漢的,小弟、手下或供人差遣的人。通常用來稱呼團體中位階較低者。
19670,大的,大哥，兄長，表示自己的親大哥，或至交兄長，是比較俚俗的用法。,19672,細的,弟弟，表示自己的親弟弟，或至交兄弟。
19671,細的,小弟、手下。稱呼團體中位階較低者，是比較俚俗的用法。,19669,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。
19672,細的,弟弟，表示自己的親弟弟，或至交兄弟。,19670,大的,大哥，兄長，表示自己的親大哥，或至交兄長，是比較俚俗的用法。
19676,以早,以前、從前。,1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
19676,以早,以前、從前。,18545,後過,下次。將來。
19676,以早,以前、從前。,22615,後日仔,日後、以後、將來。未來的日子。
19679,巧神,伶俐、靈巧，機靈可愛的樣子。,12761,頇顢,形容人愚笨、遲鈍、笨拙、沒有才能。
19679,巧神,伶俐、靈巧，機靈可愛的樣子。,13274,歁歁,呆呆笨笨的。
19684,好命,命好。即指人的出身好或際遇好。,1331,歹命,苦命、不幸。命運不好、沒有福份。
19684,好命,命好。即指人的出身好或際遇好。,22004,業命,勞碌命。
19701,無夠,不夠、不到，表示程度上的不足。,3509,有夠,足夠。
21858,大細聲,高聲喧鬧、吵鬧。,10797,細聲,小聲。
21861,中盤,大量購買商品再轉賣給零售商，賺取差額利潤的商人。,704,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。
21862,歹過,生活困苦、不易度過。,4389,快活,形容生活寬裕的。
21874,坦斜,斜著。,2043,四正,四方端正、不偏不倚。
21874,坦斜,斜著。,5195,坦直,使成直向。
21877,花貓貓,形容顏色花樣多得讓人受不了。,22943,素色,白色、素色、淡雅的顏色。
21880,挐絞絞,形容很亂。,15957,整齊,有次序、有條理。
21881,袂爽,心中感到不舒暢。,9319,起毛婸,情緒好、心情好。「起毛」是借自日語「気持ち（きもち）」的外來語素，加上表示「爽快」的「婸」。
21881,袂爽,心中感到不舒暢。,10514,爽,心中感到痛快舒暢。
21881,袂爽,心中感到不舒暢。,15223,樂暢,歡喜、愉快。
21881,袂爽,心中感到不舒暢。,17921,歡喜,形容高興、愉快的樣子。
21882,袂爽,不喜歡、厭惡。,17920,歡喜,感到高興、愉快或喜歡。
21887,規半晡,大半天、老半天，指一天當中的一段長時間。,24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。
21887,規半晡,大半天、老半天，指一天當中的一段長時間。,42,一睏仔,一陣子、一會兒。
21887,規半晡,大半天、老半天，指一天當中的一段長時間。,49,一霎仔久,一瞬間、一下子。形容很短的時間。
21887,規半晡,大半天、老半天，指一天當中的一段長時間。,53,一觸久仔,一會兒、一下子。
21887,規半晡,大半天、老半天，指一天當中的一段長時間。,19665,一時仔,一下子。一段不長的時間。
21888,頂改,上次、上回。,733,下擺,下次、下回。
21888,頂改,上次、上回。,6973,後擺,下次、下回。
21888,頂改,上次、上回。,18545,後過,下次。將來。
21888,頂改,上次、上回。,22633,後改,下次、下回。
21889,斯當時,那時、當時，就在那個時間點。,10554,現此時,現在、目前。
21889,斯當時,那時、當時，就在那個時間點。,11033,這站,這陣子、現在。說話當時的前後一段時間或一個節點。
21889,斯當時,那時、當時，就在那個時間點。,11041,這陣,現在。當下這個時刻。
21889,斯當時,那時、當時，就在那個時間點。,11042,這馬,現在。
21890,無閒𩑾𩑾,忙得不可開交、忙碌不堪、非常忙碌。,3525,有閒,有空。有空閒、餘暇。
21890,無閒𩑾𩑾,忙得不可開交、忙碌不堪、非常忙碌。,12611,閒仙仙,形容人閒著沒事幹。
21897,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。,7207,洘流,退潮。
21897,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。,19264,退流,退潮。
21908,頭幫車,首班車。當天開出的第一班車。,4310,尾幫車,末班車。當天開出的最後一班車。
21918,轉來去,回家。,2036,出外,離家遠行到外地去。
21918,轉來去,回家。,2080,出門,離家外出。
21925,這號,這一個、這種。,5447,彼个,那個。
21925,這號,這一個、這種。,5481,彼款,那樣。
21925,這號,這一個、這種。,5486,彼號,那種。
21932,合仔趁,本錢等於毛利的生意。未計算營運成本，毛利殖入率為50%的生意。,21935,末趁,低獲利。扣除營運成本後的純益很少。
21935,末趁,低獲利。扣除營運成本後的純益很少。,19656,大趁錢,發大財、賺大錢。常用來說好話祝福人發大財、賺大錢。
21935,末趁,低獲利。扣除營運成本後的純益很少。,21932,合仔趁,本錢等於毛利的生意。未計算營運成本，毛利殖入率為50%的生意。
21940,平棒,公正持平。,599,大細心,偏心。指人故意偏袒一方，對某一方存私心。
21940,平棒,公正持平。,9635,偏心,偏袒。袒護一方，對某一方存私心。
21942,四伨,平衡、平均。,7733,重敧爿,指不平衡、輕重不一或不公平。
21942,四伨,平衡、平均。,7760,重頭輕,一邊重，一邊輕，指兩頭的重量不平均。
21944,擋恬,停下來。,9333,起行,啟程、出發。
21944,擋恬,停下來。,9381,起程,出發、啟程。
21947,躼跤蠓,高個子。稱身材高的人。,19442,矮仔冬瓜,矮冬瓜。對矮小的人的謔稱。
21972,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。,22074,光映映,形容非常光亮的樣子。
21977,巧氣,聰穎、靈巧。,12761,頇顢,形容人愚笨、遲鈍、笨拙、沒有才能。
21977,巧氣,聰穎、靈巧。,13274,歁歁,呆呆笨笨的。
21977,巧氣,聰穎、靈巧。,18203,戇呆,愚蠢、愚笨。
21977,巧氣,聰穎、靈巧。,18215,戇戇,呆傻、呆滯。發愣的樣子。
21991,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,1269,毋成人,不肖之徒。罵人不像樣。
21991,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,1275,毋成樣,不像話、不像樣。
21991,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,18489,毋是款,不像話。不懂禮教，多指吃東西的習慣或行為不好。
21991,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,22845,無臭無潲,責人不像樣。罵人的粗鄙用語。
21993,勇壯,身體強壯。,9237,荏身,身體虛弱。
21993,勇壯,身體強壯。,11030,軟弱,體質虛弱沒力氣。
21993,勇壯,身體強壯。,22645,虛荏,身體虛弱。
21998,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,22717,焦蔫,植物因缺少水分或營養而枯萎。
21998,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,22722,枯焦,枯乾。
22004,業命,勞碌命。,7830,食命,靠命運好而坐享清福。
22004,業命,勞碌命。,19684,好命,命好。即指人的出身好或際遇好。
22011,孤毛,孤獨、孤僻、不喜歡與他人分享。,23030,慷交,慷慨好客，交遊廣闊。
22025,在室男,處男。尚未結婚的男性。,3058,在室女,處女、閨女。未出嫁的女子。
22066,變撚,懂得變通，找到新方法解決問題。,3474,死板,古板、刻板。僵化不知變通。
22066,變撚,懂得變通，找到新方法解決問題。,5208,固執,形容堅持自己的意見，不肯變通。
22066,變撚,懂得變通，找到新方法解決問題。,19640,變無魍,搞不出花樣。
22070,規山坪,滿山遍野。,11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。
22070,規山坪,滿山遍野。,11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。
22071,規山坪,比喻到處都是。,11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。
22071,規山坪,比喻到處都是。,11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。
22074,光映映,形容非常光亮的樣子。,8805,烏趖趖,烏黑。形容很黑。
22074,光映映,形容非常光亮的樣子。,13196,暗眠摸,黑漆漆、一片漆黑。形容很黑很暗，什麼都看不到。
22074,光映映,形容非常光亮的樣子。,13217,暗漠漠,黑漆漆。形容非常黑暗的樣子，完全看不見。
22074,光映映,形容非常光亮的樣子。,13219,暗趖趖,黑漆漆。形容漆黑一片。
22074,光映映,形容非常光亮的樣子。,21972,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。
22074,光映映,形容非常光亮的樣子。,22714,暗殕,灰暗無光的。
22075,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,8805,烏趖趖,烏黑。形容很黑。
22075,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,13196,暗眠摸,黑漆漆、一片漆黑。形容很黑很暗，什麼都看不到。
22075,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,13217,暗漠漠,黑漆漆。形容非常黑暗的樣子，完全看不見。
22075,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,13219,暗趖趖,黑漆漆。形容漆黑一片。
22075,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,22714,暗殕,灰暗無光的。
22076,熱翕翕,非常悶熱。,10993,透心涼,由嘴、咽喉一直涼到心脾，形容涼極了。
22079,合味,對味。形容食物的味道搭配得恰到好處，合於飲食者喜好。,4383,扴味,因為摻合不同食材，造成味道彼此不相合。
22080,合味,合於飲食者所習慣或喜歡的味道。,4383,扴味,因為摻合不同食材，造成味道彼此不相合。
22082,無價,價錢不符預期、沒有利潤，多用在動詞之後做為補語。,3326,好價,好價格。
22083,無價,無價、珍貴、價值連城。,6584,俗,便宜。
22087,燒燙燙,溫度很高會燙人。,3990,冷吱吱,冷冰冰。形容非常冷。
22093,烏寒,陰天又寒冷的。,694,大熱,酷暑。極炎熱的天氣。
22093,烏寒,陰天又寒冷的。,13273,溫暖,暖和。
22093,烏寒,陰天又寒冷的。,16084,燒烙,溫暖、暖和。
22093,烏寒,陰天又寒冷的。,16097,燒熱,極為炎熱的。
22106,千拄千,無巧不成書，準確的有點異常。,1340,毋拄好,搞不好、不湊巧。
22106,千拄千,無巧不成書，準確的有點異常。,11880,無拄好,不巧。
22111,山尖,山嶺的頂點。,654,山跤,山腳。山下靠近平地的部分。
22118,白死殺,形容人的臉色蒼白，沒有血色。,7543,紅牙,紅潤。豐滿而帶有紅色的光澤。本詞目常重疊使用。
22118,白死殺,形容人的臉色蒼白，沒有血色。,7590,紅膏赤蠘,臉色紅潤，形容身體健康。
22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,380,大方,慷慨不小氣。
22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,695,大範,一個人的舉止十分大方、自然，不受拘束。
22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,851,冇手,大方、慷慨。
22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,14431,慷慨,大方而不吝嗇。
22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,18780,大出手,出手大方、大手筆。
22126,倒匼,向下覆蓋著。,18467,坦笑,面朝上。
22128,烏汁汁,又黑又髒。,2757,白蔥蔥,形容非常潔白。
22128,烏汁汁,又黑又髒。,2790,白鑠鑠,白晃晃。形容很白的樣子。
22143,欲死,表示對某事嫌惡不滿。,4388,快活,愉快、舒服。
22143,欲死,表示對某事嫌惡不滿。,10556,爽快,開心、愉快、心情好。
22149,圓棍棍,身材胖胖的樣子。,15343,瘦卑巴,瘦巴巴、瘦骨如柴。
22150,勇跤,強壯有力。,9237,荏身,身體虛弱。
22150,勇跤,強壯有力。,11030,軟弱,體質虛弱沒力氣。
22150,勇跤,強壯有力。,19246,荏身命,天生體質虛弱，容易生病。
22151,勇跤,財務健全者。,22759,半病仔,喻指不中用、無能的人。
22156,當初時,當初、那時候。,777,今,此時、現在。
22156,當初時,當初、那時候。,5062,到今,及今、如今、至今。到如今。
22156,當初時,當初、那時候。,10554,現此時,現在、目前。
22156,當初時,當初、那時候。,11033,這站,這陣子、現在。說話當時的前後一段時間或一個節點。
22156,當初時,當初、那時候。,11041,這陣,現在。當下這個時刻。
22156,當初時,當初、那時候。,11042,這馬,現在。
22218,起去,以前，時間回溯到過去、過往。,1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
22218,起去,以前，時間回溯到過去、過往。,13624,落來,在什麼以下，其次。
22219,起去,以上。,13624,落來,在什麼以下，其次。
22383,小盤,零售商。將貨品零星出售給消費者的商人。,703,大賣,批發的生意，指成批買賣商品。
22387,有親,極重視親屬關係，常用於熱切邀請親友來做客的語境。,2624,生份,陌生。沒見過的、不認識的或不熟悉的。
22387,有親,極重視親屬關係，常用於熱切邀請親友來做客的語境。,2693,生疏,陌生、不熟悉。
22393,烏昏,面色陰沉。通常用來形容人不苟言笑，嚴肅而不易親近。,3264,好笑神,形容人神態愉悅，經常面帶笑容。
22399,雞喙變鴨喙,尖利的雞嘴變成扁平的鴨嘴。喻一個人起初能言善辯，後因證據出現自知理虧，變得啞口無言。,3555,死諍,強辯。沒理硬要說成有理。
22404,心適興,好玩的、有趣的、產生興趣的、引發興味的。,19661,無局,沒有趣味、乏味。
22407,割引,按售價減除幾成賣出。,9402,起價,漲價。物價上揚。
22413,大晡日,出大太陽的好天氣。,1200,歹天,惡劣的天氣。
22413,大晡日,出大太陽的好天氣。,6418,雨來天,雨天、下雨天。
22413,大晡日,出大太陽的好天氣。,13634,落雨天,雨天。
22414,笑色,淺色。,13182,暗色,較濃或深沉的顏色。
22419,仿仔,贗品、仿冒品。仿製的東西。,2447,正港,指正宗道地的，非冒名的。
22419,仿仔,贗品、仿冒品。仿製的東西。,18895,正範,真品、真貨。也指正牌，正規，名副其實的身份。
22421,淺現,淺顯、淺而易見。,10427,深,困難。
22439,慢手,慢吞吞、動作遲緩。,4402,扭掠,形容手腳快、動作敏捷。
22439,慢手,慢吞吞、動作遲緩。,10254,敏捷,反應迅速快捷。
22439,慢手,慢吞吞、動作遲緩。,14738,緊手,快手。形容人手腳俐落，做事敏捷。
22439,慢手,慢吞吞、動作遲緩。,18598,猛掠,（動作）敏捷。
22439,慢手,慢吞吞、動作遲緩。,23179,緊跤緊手,快手快腳。指做事情動作敏捷快速。
22443,素料,泛指素食食物。,16787,臊菜,葷菜。泛指肉類或含有辛辣刺激味道的食品、青菜如蔥、蒜、韭菜等。
22445,掂篤,沉重。東西拿在手中感覺沉甸甸的。,22541,輕兩想,輕得不得了。
22445,掂篤,沉重。東西拿在手中感覺沉甸甸的。,22560,輕蠓蠓,形容非常的輕。
22451,細漢的,小弟、手下或供人差遣的人。通常用來稱呼團體中位階較低者。,19669,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。
22465,挐頭,小孩子無理取鬧的樣子。,4906,乖,形容懂事、順從。
22465,挐頭,小孩子無理取鬧的樣子。,4950,乖巧,形容人聰明伶俐，討人喜歡。
22465,挐頭,小孩子無理取鬧的樣子。,13277,溫馴,溫順、溫和。溫和馴良、平和不粗野。
22480,無時無陣,不定時。無固定的時間。,3493,有時有陣,定時、有時間性。
22493,璇石喙,能言善道。,454,大舌,口吃。講話結結巴巴、不清不楚。
22494,熱底,一般指體質偏熱的人。,22891,冷底,指體質虛寒。
22497,嗤噌,指鼻子強力吸氣、呼氣，發出聲音。後引申為吭聲。,6930,恬恬,安靜無聲。
22497,嗤噌,指鼻子強力吸氣、呼氣，發出聲音。後引申為吭聲。,15877,噷噷,悶不作聲、不吭聲。
22499,慢分,誤點。通常指班機、班車遲到。,13262,準時,按照規定的時間。
22510,致心,盡心盡力、專心致志。,2039,外外,漠不關心、置身事外。
22510,致心,盡心盡力、專心致志。,5709,放放,散漫、馬虎。草率不認真。
22510,致心,盡心盡力、專心致志。,16029,激外外,置身事外。裝出一副事不關己的樣子。
22512,內家,婆家。指女人出嫁後，丈夫的父母家。,2103,外家,娘家。女子出嫁後，稱自己父母的家。
22512,內家,婆家。指女人出嫁後，丈夫的父母家。,6970,後頭,娘家。
22512,內家,婆家。指女人出嫁後，丈夫的父母家。,6971,後頭厝,娘家。女性出嫁後對親生父母家的稱呼，以用來和婆家作區別。
22514,無底,指家世背景、財富地位或學識技能缺乏根柢。亦即本質實力基礎薄弱。,3469,有底,指有基礎或者有祖產等。
22522,現交關,現金交易。,14852,賒數,賒帳。商業交易時先取得商品，日後再付款。
22524,饒裕,富裕、豐裕。錢財或物資充裕。,10497,清寒,清貧、貧寒。
22524,饒裕,富裕、豐裕。錢財或物資充裕。,11663,散赤,貧窮、窮困。缺乏錢財，生活拮据困乏。
22524,饒裕,富裕、豐裕。錢財或物資充裕。,22575,缺欠,不足、不夠、匱乏、窮乏。
22533,厚味,形容東西的味道又濃又重。,2645,白汫無味,指食物味道淡，沒什麼滋味。
22533,厚味,形容東西的味道又濃又重。,4548,汫,味道淡、不鹹。
22537,卜面,指望；勝算。,16318,輸面,輸局。會輸的成分、局面。
22541,輕兩想,輕得不得了。,22445,掂篤,沉重。東西拿在手中感覺沉甸甸的。
22542,會和,划算。,9242,袂和,划不來、不划算。
22542,會和,划算。,14702,算袂和,划不來。不合算、不值得。
22544,押尾手,最後。,22948,做前,領頭、帶領。
22551,懊嘟面,表情嚴肅，略帶怒氣且沒有笑容的臭臉。,9030,笑頭笑面,笑逐顏開、眉開眼笑。形容心中非常高興，連臉上都充滿著歡喜的神情。
22552,喜事,婚嫁或一切值得慶賀的事。,11432,喪事,人死後的殮葬、哀祭等事宜。
22553,花哩囉,形容色彩繁多而雜亂。,22943,素色,白色、素色、淡雅的顏色。
22555,花彔彔,顏色、花樣多而雜亂。,22943,素色,白色、素色、淡雅的顏色。
22560,輕蠓蠓,形容非常的輕。,22445,掂篤,沉重。東西拿在手中感覺沉甸甸的。
22560,輕蠓蠓,形容非常的輕。,22863,重篤篤,非常重。
22568,走斜,歪斜不正。,2043,四正,四方端正、不偏不倚。
22570,押尾,殿後、押後。,22948,做前,領頭、帶領。
22571,押尾,最後。,12531,進前,之前。
22571,押尾,最後。,16456,頭起先,起初、剛開始。
22572,壓落底,壓制使順從、壓制使屈服。,1298,反抗,心中不服而予以抗拒。
22572,壓落底,壓制使順從、壓制使屈服。,5689,抵抗,抗拒、反抗。
22573,慢鈍,遲鈍、慢吞吞。,4402,扭掠,形容手腳快、動作敏捷。
22573,慢鈍,遲鈍、慢吞吞。,10254,敏捷,反應迅速快捷。
22573,慢鈍,遲鈍、慢吞吞。,14738,緊手,快手。形容人手腳俐落，做事敏捷。
22573,慢鈍,遲鈍、慢吞吞。,18598,猛掠,（動作）敏捷。
22573,慢鈍,遲鈍、慢吞吞。,23179,緊跤緊手,快手快腳。指做事情動作敏捷快速。
22574,缺欠,缺乏。,1431,少缺,不缺、多得很。多用在反詰口氣。
22575,缺欠,不足、不夠、匱乏、窮乏。,973,冗剩,寬裕。
22575,缺欠,不足、不夠、匱乏、窮乏。,22524,饒裕,富裕、豐裕。錢財或物資充裕。
22576,怪奇,奇怪、奇特、蹊蹺。,2425,平常,形容一點也沒有值得奇怪或驚訝的地方。
22576,怪奇,奇怪、奇特、蹊蹺。,11678,普通,通常、一般。
22577,趕狂,急忙、倉皇、慌慌張張。,387,小心,注意、留意。
22577,趕狂,急忙、倉皇、慌慌張張。,5386,定著,穩重。
22577,趕狂,急忙、倉皇、慌慌張張。,10791,細膩,做事小心謹慎。
22584,歹星,惡、壞。,3147,好,美、善、佳等與「壞」相對的正面形容。
22588,省本,節省成本。,130,了本,蝕本、虧本。
22588,省本,節省成本。,211,了錢,賠錢、虧本。
22588,省本,節省成本。,8044,倒貼,虧本、賠本。
22588,省本,節省成本。,14801,蝕本,虧本。虧損賠錢。
22589,探,伸出去。,814,勼,縮小、收縮。
22594,親戽戽,熟似親密狀、熱絡狀。,10666,疏遠,遠離而不親近。
22596,大箍把,指身材高大。有時可以用來貶抑人空有高大的外貌卻不中用。,10774,細粒子,形容身材嬌小。
22602,𢯾鼻,鼻梁不高。,9745,啄,由本義引申為形容人鼻子尖挺。
22603,𢯾鼻,鼻子下陷。,9745,啄,由本義引申為形容人鼻子尖挺。
22605,不三時,時常、常常。,3492,有時仔,有時候、偶爾。
22605,不三時,時常、常常。,3495,有時陣,有時候、偶爾。
22605,不三時,時常、常常。,3532,有當時仔,偶爾、有時候。
22605,不三時,時常、常常。,4690,罕得,稀罕、難得、稀少。語氣完結時唸作hán--tit。
22605,不三時,時常、常常。,19002,罕罕仔,偶爾、難得、久久一次。
22614,一半擺仔,偶爾、一兩次。,947,不時,隨時、經常。無論什麼時候。
22614,一半擺仔,偶爾、一兩次。,2122,四常,時常、經常。
22614,一半擺仔,偶爾、一兩次。,5365,定定,常常、經常。
22614,一半擺仔,偶爾、一兩次。,10251,捷捷,常常。
22615,後日仔,日後、以後、將來。未來的日子。,3069,向時,從前、昔日。
22615,後日仔,日後、以後、將來。未來的日子。,3480,早前,早先、以前。
22615,後日仔,日後、以後、將來。未來的日子。,5474,往時,從前、過去。
22615,後日仔,日後、以後、將來。未來的日子。,5489,往過,以往、以前。
22615,後日仔,日後、以後、將來。未來的日子。,5496,往擺,以前、早先。
22615,後日仔,日後、以後、將來。未來的日子。,6613,前日,前幾天。
22615,後日仔,日後、以後、將來。未來的日子。,12530,進前,以前、從前。
22615,後日仔,日後、以後、將來。未來的日子。,13992,較早,以往、以前。
22615,後日仔,日後、以後、將來。未來的日子。,19676,以早,以前、從前。
22622,散食,貧窮。缺乏錢財，生活拮据困乏。,3344,好額,富裕、富有。
22626,著等,入選；得名、獲得名次。,13122,摃龜,希望落空或是彩頭沒中。源自日語。
22627,著等,得獎。獲得獎賞。,13122,摃龜,希望落空或是彩頭沒中。源自日語。
22629,厝內人,家眷。指眷屬。,1992,外人,沒有親屬關係的人。
22631,出破,不該讓人知道的事情被發現或揭發。,10237,掩崁,隱瞞、包庇。
22631,出破,不該讓人知道的事情被發現或揭發。,15717,遮閘,遮掩。遮蔽、掩蔽。
22631,出破,不該讓人知道的事情被發現或揭發。,15720,遮瞞,隱瞞。把真相遮掩隱瞞起來不讓人知道。
22632,後回,下次、下回。,11187,頂過,上次。
22632,後回,下次、下回。,11202,頂幫,上次，前一次。
22632,後回,下次、下回。,11203,頂擺,上次、前回。
22632,後回,下次、下回。,22634,頂回,上次、以前、之前的事情。
22633,後改,下次、下回。,11187,頂過,上次。
22633,後改,下次、下回。,11202,頂幫,上次，前一次。
22633,後改,下次、下回。,11203,頂擺,上次、前回。
22633,後改,下次、下回。,21888,頂改,上次、上回。
22633,後改,下次、下回。,22634,頂回,上次、以前、之前的事情。
22634,頂回,上次、以前、之前的事情。,733,下擺,下次、下回。
22634,頂回,上次、以前、之前的事情。,18545,後過,下次。將來。
22634,頂回,上次、以前、之前的事情。,22632,後回,下次、下回。
22634,頂回,上次、以前、之前的事情。,22633,後改,下次、下回。
22637,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。,6930,恬恬,安靜無聲。
22637,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。,15877,噷噷,悶不作聲、不吭聲。
22640,涼冷,微冷。一般指氣候上的冷。,16084,燒烙,溫暖、暖和。
22640,涼冷,微冷。一般指氣候上的冷。,16096,燒熱,溫暖。
22645,虛荏,身體虛弱。,6603,勇,健康、強壯。
22645,虛荏,身體虛弱。,6649,勇健,健朗。形容身體健康硬朗。
22645,虛荏,身體虛弱。,21993,勇壯,身體強壯。
22653,得定,鎮定、穩重。,11879,無定著,指小孩子不安定，無法安靜下來。
22653,得定,鎮定、穩重。,23031,無時定,形容人活潑好動，一刻都閒不下來。
22657,拄仔,恰恰、恰巧。,1264,毋好勢,不方便、不湊巧。
22657,拄仔,恰恰、恰巧。,1340,毋拄好,搞不好、不湊巧。
22657,拄仔,恰恰、恰巧。,11880,無拄好,不巧。
22684,花血,花俏豔麗。,9042,素,樸實無華，沒有複雜的裝飾。
22684,花血,花俏豔麗。,14558,漚色,顏色灰暗。
22685,袂見眾,見不得人，上不了檯面的意思。,22699,會見眾,上得了檯面。為人行事、作品可公開受品評。
22688,平正,公平、公正、無私心。,599,大細心,偏心。指人故意偏袒一方，對某一方存私心。
