詞目id,詞目漢字,對應詞目id,對應詞目漢字
7732,紹介,718,介紹
7744,細叔,344,小叔
7744,細叔,17791,小叔仔
7757,粗桶,3103,尿桶
7757,粗桶,4875,屎桶
7757,粗桶,18581,屎桶仔
7763,細菌,19193,菌
7763,細菌,19201,菌種
7767,習慣,10518,慣勢
7775,組頭,19013,組仔頭
7801,脫種,19712,變種
7806,船艙,19026,船肚
7815,蚶,19204,蛤
7826,莫怪,18860,袂怪得
7838,術,3959,拐
7838,術,12927,騙
7843,被,19035,被仔
7853,規爿,18422,孤爿
7859,歸尾,18110,甲尾
7879,規模,18933,基模
7911,軟心,17950,心軟
7913,逐日,3289,每日
7913,逐日,14301,逐工
7913,逐日,17906,日日
7966,貧惰,12781,懶屍
7967,貧惰骨,19049,貧惰仙
7967,貧惰骨,19656,懶屍骨
7972,逐暗,19041,逐下昏
7972,逐暗,19051,逐暝
7987,貨樣,3415,見本
7987,貨樣,19052,貨範
7997,通譯,12586,翻譯
8023,頂日,5001,昨日
8036,都合,4005,拄好
8036,都合,18454,拄拄好
8066,釣鉤,19055,釣仔
8076,陰謀,8020,野心
8076,陰謀,10018,詭計
8076,陰謀,19289,暗計
8084,魚,19070,魚仔
8096,魚仔市,19071,魚市
8111,麻虱目,4529,虱目魚
8111,麻虱目,18788,海草魚
8125,魚釣仔,19064,釣竿
8133,鳥鼠擗仔,19078,鳥鼠籠
8134,鳥鼠觸仔,8132,鳥鼠張
8134,鳥鼠觸仔,19077,鳥鼠罩
8148,魚鱗𤺅仔,19080,魚鱗刺
8151,傘,4612,雨傘
8151,傘,19230,陽傘
8195,善男信女,19085,善信
8228,喉滇,19094,喉管滇
8233,割價,17846,大賣價
8257,喨仔,9159,鈃仔
8257,喨仔,19370,鈴喨仔
8257,喨仔,19371,鈴鐺仔
8281,圍牆,12214,牆仔
8281,圍牆,12217,牆圍
8281,圍牆,18269,竹圍
8291,就,9220,順
8314,尊貴,6862,高貴
8314,尊貴,9075,貴氣
8326,幾工,18918,偌濟工
8337,復興,17889,中興
8361,插,10688,管
8362,插一跤,18919,參一跤
8367,插代誌,19111,插事
8367,插代誌,19419,管事
8398,提親,12405,講親情
8398,提親,19602,講親事
8435,敢有,18872,豈有
8442,換帖的,8860,結拜
8442,換帖的,19187,結拜的
8443,換紅,19541,褪孝
8451,斑馬線,19363,過路線
8467,散賣,522,小賣
8471,敢講,19342,誠實講
8476,朝,8488,朝代
8481,棗,8491,棗仔
8484,椅,8492,椅仔
8488,朝代,8476,朝
8491,棗仔,8481,棗
8492,椅仔,8484,椅
8509,椅墊仔,8497,椅苴
8509,椅墊仔,18307,坐墊
8512,椅頭仔,19380,鼓椅仔
8513,棉襀,8514,棉襀被
8514,棉襀被,8513,棉襀
8517,椏,4195,枝
8550,湳,10635,漉糊糜
8551,湳田,19689,爛田
8567,牌,8587,牌仔
8568,牚,9570,楗
8577,猴山仔,8571,猴
8580,無心肝,8602,無良心
8580,無心肝,19148,無記持
8581,無心情,19135,無心腸
8581,無心情,19151,無情緒
8587,牌仔,8567,牌
8592,無可奈何,8612,無法度
8625,煮食裙仔,8282,圍軀裙
8625,煮食裙仔,19097,圍身裙
8635,無啥物,19149,無啥
8655,無路用,609,不中用
8655,無路用,8603,無事使
8660,無疑悟,6054,料想袂到
8660,無疑悟,8659,無疑
8660,無疑悟,19267,想袂到
8685,無鹹無纖,19163,無鹹無汫
8709,畫巡,19172,畫痕
8709,畫巡,19173,畫逝
8713,痚呴,19168,痚呴注
8713,痚呴,19169,痚呴病
8724,發芽,8752,發穎
8724,發芽,18025,出芽
8726,痛苦,12312,艱苦
8739,發喙齒,19166,發牙
8739,發喙齒,19175,發齒
8757,番薑仔,8704,番仔薑
8757,番薑仔,12358,薟椒仔
8757,番薑仔,12365,薟薑仔
8757,番薑仔,19434,辣椒
8769,硬,13568,𠕇
8789,硩枝,8374,插枝
8789,硩枝,19113,插條
8832,絞,7287,捲
8833,絨,19182,絨仔
8844,絲仔襪,19192,絲襪仔
8873,答喙鼓,4098,拍喙鼓
8873,答喙鼓,11228,盤喙錦
8952,菊花,19195,菊仔花
9008,虛弱,7948,軟弱
9048,貿工,1623,包穡頭
9048,貿工,18005,包工程
9048,貿工,19209,貿工事
9048,貿工,19210,貿工程
9056,註好好,9057,註死
9057,註死,9056,註好好
9071,趁食,6732,討食
9075,貴氣,6862,高貴
9075,貴氣,8314,尊貴
9097,越頭,12581,翻頭
9100,跑,3390,走
9115,鄉長,19221,鄉鎮長
9122,跙倒,9703,滑倒
9123,郵差,18757,挈批的
9125,跑馬,18368,走馬
9127,郵票,618,切手
9130,郵筒,3247,批桶
9130,郵筒,3254,批筒
9133,鄉鎮,19220,鄉鎮市
9155,開口,9184,開喙
9158,量仔,6431,秤仔
9158,量仔,9138,量
9159,鈃仔,8257,喨仔
9159,鈃仔,9139,鈃
9180,開破,7054,啟發
9180,開破,10045,解說
9183,開張,9193,開業
9183,開張,9197,開幕
9193,開業,9197,開幕
9199,開價,1597,出價
9206,閒錢,19224,閒仔錢
9206,閒錢,19231,冗剩錢
9223,飲,7018,啉
9230,飯斗,9260,飯桶
9240,飯杓,9256,飯匙
9240,飯杓,19241,飯桸
9249,黃泉,17744,九泉
9258,飯匙銃,18137,目鏡蛇
9267,飯湯,19132,湯飯
9269,雅量,18353,肚量
9315,亂使,6246,烏白
9315,亂使,12216,濫使
9315,亂使,19250,亂亂
9316,亂來,6247,烏白來
9316,亂來,12216,濫使
9316,亂來,19244,亂使來
9321,剾洗,3591,刮
9321,剾洗,5761,倒剾
9321,剾洗,18093,正剾
9326,傷害,19252,傷礙
9335,匯票,19433,銀單
9359,填,3020,坉
9369,圓仔粞,10732,粿粞
9369,圓仔粞,18271,米粞
9381,塌空,19257,塌縫
9387,圓栱門,17960,月圓門
9391,塌落,19067,陷落
9412,媽祖,14368,媽祖婆
9422,想,4899,思
9435,惹代誌,19262,惹厄
9435,惹代誌,19265,惹是非
9435,惹代誌,19271,惹禍
9448,愛哭,19263,愛吼
9487,搧,3199,抉
9504,新正,5046,春節
9504,新正,9515,新春
9506,搶劫,7218,強搶
9506,搶劫,18941,強劫
9515,新春,9504,新正
9523,新娘房,5141,洞房
9531,新婚,9498,新人
9532,新婦,19261,媳婦
9538,搪著,4111,拄著
9538,搪著,10222,遇著
9567,椰,9575,椰子
9567,椰,19285,椰子樹
9570,楗,8568,牚
9582,楓仔樹,9568,楓
9582,楓仔樹,9579,楓仔
9582,楓仔樹,19293,楓樹
9589,暗行,8076,陰謀
9589,暗行,19289,暗計
9600,暗班,3800,夜勤
9600,暗班,18411,夜工
9600,暗班,18419,夜班
9614,暗飯,9619,暗頓
9614,暗飯,17796,下昏頓
9619,暗頓,9614,暗飯
9619,暗頓,17796,下昏頓
9639,溝,2269,圳
9678,歁頭歁面,11600,儑面
9678,歁頭歁面,11603,儑頭儑面
9678,歁頭歁面,13242,癮頭
9701,煏油,5188,炸油
9702,煏空,6393,破空
9703,滑倒,9122,跙倒
9744,當年,10179,較早
9745,當事人,3535,事主
9746,當初,3917,彼陣
9746,當初,9756,當時
9751,當面,9767,當頭對面
9751,當面,18636,相對頭
9752,當值,5749,值班
9753,痴哥,9754,痴哥神
9753,痴哥,11434,豬哥
9753,痴哥,11436,豬哥神
9754,痴哥神,9753,痴哥
9754,痴哥神,11434,豬哥
9754,痴哥神,11436,豬哥神
9767,當頭對面,9751,當面
9788,禁忌,13857,譴損
9798,碎糊糊,14395,碎鹽鹽
9798,碎糊糊,19311,碎溶溶
9917,落空逝,14572,落空車
9917,落空逝,18458,放空載
9920,落雨,18523,雨來
9925,落屎馬,9260,飯桶
9926,落後日,382,大後日
9926,落後日,18479,明仔後日
9945,腦貧血,19314,腦欠血
9963,落魄,6355,狼狽
9979,葉仔,9974,葉
9988,葫蘆,19328,葫蘆匏仔
9989,蜂,19428,蜜蜂
10033,解答,8864,答案
10035,解愁,19335,解憂愁
10037,詬詬唸,10894,踅踅唸
10037,詬詬唸,19386,嘈嘈唸
10044,蜈蜞釘,18888,馬釘
10050,試驗,2825,考驗
10057,跟,10747,綴
10072,資本,1812,本錢
10072,資本,18869,財本
10083,跤來手來,18923,動跤動手
10090,跤後肚,10081,跤肚
10094,跤枷,19349,跤鐐
10100,跤兜,1687,左右
10105,跤梢間仔,5103,查某間
10105,跤梢間仔,7166,婊間
10105,跤梢間仔,9074,趁食間
10105,跤梢間仔,9613,暗間仔
10105,跤梢間仔,18308,妓女戶
10110,該然,12174,應該
10115,趒跤頓蹄,19341,趒跤頓地
10125,跤踏仔,19339,跤枋
10126,跤踏車,967,孔明車
10126,跤踏車,2813,自轉車
10126,跤踏車,13148,鐵馬
10127,跤擋,1155,手擋
10147,遍,3209,改
10159,過戶,10176,過名
10174,運用,2978,利用
10176,過名,10159,過戶
10185,較車,19698,飆車
10215,運途,18407,命途
10220,路程,19432,遠近
10232,過數,19638,轉數
10248,過癮,7109,夠氣
10248,過癮,19301,煞氣
10271,鉛桶,18386,亞鉛桶
10286,飼,3344,育
10292,飽仁,19374,飽朱
10299,電火泡仔,10301,電火球仔
10299,電火泡仔,19378,電球仔
10301,電火球仔,10299,電火泡仔
10301,電火球仔,19372,電火觳仔
10301,電火球仔,19377,電球
10304,頓印,19178,硩印仔
10337,電影戲園,12165,戲院
10337,電影戲園,12171,戲園
10343,電頭鬃店,4760,剃頭店
10343,電頭鬃店,14424,電頭毛店
10343,電頭鬃店,18657,美容院
10377,厭,10287,飽
10389,嘔血,3710,呸血
10389,嘔血,10392,嘔紅
10389,嘔血,19385,嘔紅吐血
10392,嘔紅,2167,吐血
10392,嘔紅,3710,呸血
10392,嘔紅,19385,嘔紅吐血
10396,僫做,17943,歹做
10424,嫖客,19227,開查某的
10451,對手,11114,敵手
10463,對拄,18626,相坐
10463,對拄,18628,相抵
10468,對指,19391,對訊
10468,對指,19392,對問
10468,對指,19397,對質
10518,慣勢,7767,習慣
10539,暝日,17972,日暝
10543,暝車,19287,暗車
10631,漉喙,18340,汰喙
10631,漉喙,18610,洗口
10631,漉喙,19407,漱口
10635,漉糊糜,8550,湳
10635,漉糊糜,19412,漉糊仔糜
10687,管,19417,管仔
10711,綠豆仔,19418,綠豆
10718,精牲,6347,畜生
10718,精牲,9802,禽獸
10718,精牲,11430,豬狗精牲
10728,管理,8745,發落
10732,粿粞,18271,米粞
10747,綴,10118,跟綴
10749,綹,3274,束
10782,蒜,10789,蒜仔
10782,蒜,10798,蒜頭
10784,蓆,19425,蓆仔
10806,蝕月,17932,天狗食月
10838,認真,4035,拍拚
10862,鉸,6918,剪
10864,鉼,1215,片
10897,輓聯,18133,白聯
10897,輓聯,19591,聯彩
10963,劍竹,19444,劍竹仔
10967,劍筍,19445,劍竹仔筍
10983,墨,10985,墨水
10983,墨,10989,墨汁
10985,墨水,10983,墨
10985,墨水,10989,墨汁
10989,墨汁,10983,墨
10989,墨汁,10985,墨水
11027,影目,13288,顯目
11027,影目,19554,醒目
11071,撒胡椒,19587,糝胡椒
11087,撚骰仔,11093,撚寶
11087,撚骰仔,19453,撚十八仔
11099,撩,13470,𠞭
11114,敵手,10451,對手
11120,佈田管,19457,佈田管仔
11129,播送,4083,放送
11143,槽頭,19459,槽頭肉
11145,數額,19650,額數
11145,數額,19651,額聲
11175,標準,1998,目標
11219,盤車,19636,轉車
11239,磅,6425,秤
11239,磅,9138,量
11241,稻,19469,稻仔
11260,磅重,18821,秤重
11273,篋,11285,篋仔
11285,篋仔,7647,盒仔
11285,篋仔,11273,篋
11328,蝝,12594,蟲
11336,蔭身,19474,蔭屍
11339,蝦蛄擗仔,19473,蝦姑頭
11339,蝦蛄擗仔,19475,蝦蛄仔
11361,談判,19647,槌摃鐵
11373,褒獎,19343,誇獎
11384,豬,19039,豚
11415,請求,2007,申請
11419,豬肝,18350,肝花
11430,豬狗精牲,6347,畜生
11430,豬狗精牲,10718,精牲
11436,豬哥神,4831,姼仔詼
11436,豬哥神,9753,痴哥
11436,豬哥神,9754,痴哥神
11496,遮風,10270,閘風
11498,輪框,19487,輪箍
11505,遭遇,4111,拄著
11523,鋪排話,19098,場面話
11527,閬縫,19488,閬空
11531,鞋,19734,鞋仔
11540,養女,9533,新婦仔
11549,靠岸,19492,靠碼頭
11550,鞋抿仔,19491,鞋抿
11578,鬧房,3187,弄新娘
11578,鬧房,19499,鬧新娘房
11583,魬魚,19493,魬仔
11583,魬魚,19494,魬仔魚
11597,器具,5913,家私
11600,儑面,9678,歁頭歁面
11600,儑面,11591,儑
11600,儑面,11603,儑頭儑面
11600,儑面,13242,癮頭
11603,儑頭儑面,9678,歁頭歁面
11603,儑頭儑面,11600,儑面
11603,儑頭儑面,13242,癮頭
11624,學問,18190,字目
11696,擔頭,5552,負擔
11706,樹仔,11698,樹
11706,樹仔,11705,樹木
11706,樹仔,19507,樹欉
11714,樹枝,11722,樹椏
11714,樹枝,19506,樹錦
11721,機場,18691,飛行場
11721,機場,18692,飛行機埕
11735,橄欖,6614,草橄欖
11735,橄欖,18525,青果
11777,甌,11784,甌仔
11781,燃火,6694,起火
11781,燃火,19613,點火
11784,甌仔,4201,杯仔
11784,甌仔,18841,茶杯仔
11784,甌仔,18854,茶甌仔
11787,獨身,8262,單身
11787,獨身,19660,羅漢跤
11788,燒金,19523,燒紙錢
11788,燒金,19527,燒銀紙
11796,燈猜,19521,燈虎
11796,燈猜,19529,燈謎
11797,燒著,19526,燙著
11802,燕窩,18277,血燕
11816,磨坩,19533,磨坩仔
11832,糖丹,19538,糖膽
11835,篩仔,2794,米篩
11835,篩仔,11825,篩
11835,篩仔,18342,沙篩
11837,糕仔餅,19537,糕餅
11856,糖廍,11852,糖廠
11856,糖廍,19479,蔗廍
11874,興酒,19705,癮酒
11891,褲袋仔,19543,褲橐袋仔
11899,蕨貓,19361,過溝菜
11923,親姆婆,19550,親家媽
12009,錢桌仔,17745,七洋八洋
12009,錢桌仔,19560,錢架仔
12042,頭水,19566,頭生
12042,頭水,19567,頭批
12059,頷垂,12979,瀾垂
12059,頷垂,19570,頷垂仔
12064,頭疼,19573,頭殼疼
12081,骿條,19572,骿條肉
12084,頭擺,19564,頭一回
12084,頭擺,19568,頭改
12152,嬰母仔,18062,幼母仔
12155,戲曲,12149,戲文
12155,戲曲,12182,戲齣
12165,戲院,10337,電影戲園
12165,戲院,12171,戲園
12171,戲園,10337,電影戲園
12171,戲園,12165,戲院
12191,檢定,2763,考試
12195,檢查,12201,檢驗
12195,檢查,18609,查驗
12201,檢驗,12195,檢查
12201,檢驗,18609,查驗
12214,牆仔,8281,圍牆
12214,牆仔,12211,牆
12214,牆仔,19585,牆圍仔
12216,濫使,9315,亂使
12216,濫使,9316,亂來
12216,濫使,19244,亂使來
12220,營養,19490,養分
12225,燦爛,18142,光采
12250,縮,2484,收束
12250,縮,2574,收縮
12266,糞堆,18807,糞埽堆
12284,總講,13837,總講一句
12291,聲,5565,音
12318,舉荐,18967,推荐
12332,聯對,19398,對聯
12337,薁蕘,17766,子仔
12343,聲聲句句,17758,口口聲聲
12344,艱難,3047,困難
12344,艱難,3444,辛苦
12344,艱難,8809,硬篤
12365,薟薑仔,8704,番仔薑
12365,薟薑仔,8757,番薑仔
12365,薟薑仔,12358,薟椒仔
12365,薟薑仔,19595,薟薑
12367,觳,12373,觳仔
12368,講,9208,開講
12373,觳仔,12367,觳
12376,謄本,18324,抄本
12378,講好,18239,有品
12378,講好,18565,品好
12384,謝金,5387,紅包
12384,謝金,12406,謝禮
12384,謝金,19624,禮金
12388,講笑,19597,講耍笑
12403,蹌箍螺,19599,蹌跤引
12405,講親情,8398,提親
12416,鍋,10354,鼎
12417,鍋,10354,鼎
12417,鍋,12421,鍋仔
12420,鍊仔,12415,鍊
12421,鍋仔,12417,鍋
12426,邀請,3968,招
12435,隱居,19610,隱遁
12440,闊喙,19609,闊喙仔
12442,闊腹,1984,白腹仔
12442,闊腹,18127,白腹
12456,點心擔,19612,點心擔仔
12467,鼢鼠,19614,鼢地鼠
12472,點鐘,17809,小時
12518,甕,12526,甕仔
12520,癖,9736,痲
12520,癖,19307,痲仔
12521,癗,10978,噗
12526,甕仔,12518,甕
12554,薸,1190,水薸
12554,薸,19194,萍
12555,織女,124,七娘媽
12569,糧草,18294,兵糧
12574,薰喙仔,19628,薰喙
12578,繏腰,3318,束腰
12581,翻頭,9097,越頭
12582,薰頭,12564,薰屎
12582,薰頭,19629,薰節仔
12586,翻譯,7997,通譯
12601,蟳仔,5437,紅蟳
12601,蟳仔,13013,蠘仔
12601,蟳仔,18662,紅蟳仔
12606,藐視,5347,看無
12606,藐視,10892,輕視
12608,蟧蜈車,19331,蜈蚣車仔
12608,蟧蜈車,19633,蟧蜈車仔
12621,轉,5999,捘
12626,轉外家,12632,轉後頭
12626,轉外家,19637,轉後頭厝
12627,豐年,2316,好年冬
12627,豐年,18196,好收成
12628,豐收,17776,大收
12628,豐收,18189,好冬
12628,豐收,18195,好收
12632,轉後頭,12626,轉外家
12632,轉後頭,19637,轉後頭厝
12653,鎮,19217,鄉
12675,雙生仔,19642,雙生仔囝
12676,醫生館,6357,病院
12676,醫生館,9002,診所
12676,醫生館,19648,醫館
12717,雞跤爪,19639,雞爪
12717,雞跤爪,19640,雞爪仔
12721,雜種仔囝,12720,雜種仔
12758,鯽,12761,鯽仔魚
12758,鯽,18553,南洋鯽仔
12758,鯽,19653,鯽仔
12758,鯽,19654,鯽魚
12761,鯽仔魚,12758,鯽
12761,鯽仔魚,18553,南洋鯽仔
12761,鯽仔魚,19653,鯽仔
12761,鯽仔魚,19654,鯽魚
12762,鮸魚,19652,鮸仔
12769,懶,13571,𤺪
12781,懶屍,19737,懶屍骨
12823,臘肉,19619,燻肉
12839,藥丹,19663,藥丸仔
12847,藥局,19664,藥店
12849,藥房,2849,西藥房
12849,藥房,10640,漢藥店
12849,藥房,19478,參藥引
12851,藥粉,19665,藥粉仔
12885,譀呱呱,12877,譀古
12908,難免,18069,未免得
12911,關帝爺,18756,恩主公
12911,關帝爺,19668,關公
12927,騙,3959,拐
12943,鯰魚,19671,鯰仔
12955,寶惜,18949,惜寶
12979,瀾垂,12059,頷垂
12979,瀾垂,18619,流瀾垂
12979,瀾垂,18687,食巾仔
12979,瀾垂,19675,瀾垂仔
12994,競爭,5252,相爭
12994,競爭,18886,鬥相賽
12994,競爭,18892,鬥贏
12995,礦泉水,17803,山泉水
13000,蘆黍,8744,番黍
13000,蘆黍,18890,高粱
13038,譬論講,22855,比如
13113,攝襇,4181,抾襇
13148,鐵馬,967,孔明車
13148,鐵馬,2813,自轉車
13148,鐵馬,10126,跤踏車
13148,鐵馬,19692,鐵馬仔
13175,鰮仔魚,19696,鰮
13175,鰮仔魚,19864,臭肉鰮
13188,囉,2964,吵
13200,彎來斡去,13210,彎彎斡斡
13200,彎來斡去,19702,彎彎曲曲
13206,歡喜,22353,快樂
13210,彎彎斡斡,13200,彎來斡去
13210,彎彎斡斡,19702,彎彎曲曲
13233,癮仙哥,19703,癮兄哥
13233,癮仙哥,19704,癮先生
13246,顫,8349,掣
13252,鰻,19707,鰻魚
13256,鰱魚,13251,鰱
13256,鰱魚,19706,鰱仔
13258,齪嘈,13269,攪擾
13288,顯目,11027,影目
13288,顯目,13320,顯頭
13288,顯目,19554,醒目
13293,變色,17920,反色
13293,變色,19635,轉色
13312,變款,13906,反形
13323,鱖,13327,鱖魚
13323,鱖,18776,桂花魚
13333,靈丹,1316,仙丹
13340,蠶豆,6881,馬齒豆
13340,蠶豆,19496,齒豆
13368,齆鼻聲,13369,齆聲
13368,齆鼻聲,19395,實鼻聲
13369,齆聲,13368,齆鼻聲
13369,齆聲,19395,實鼻聲
13379,廳堂,556,大廳
13379,廳堂,4895,客廳
13392,觀音,19716,觀音佛祖
13392,觀音,19717,觀音媽
13413,鑿,2433,扦
13417,鑿目,19036,豉目
13417,鑿目,19532,瞠目
13419,戇的,18309,孝呆的
13419,戇的,19718,戇仔
13423,戇神,1748,失神
13423,戇神,6436,神去
13423,戇神,10884,踅神
13423,戇神,18034,出神
13427,戇錢,18718,冤枉錢
13447,蹽溪仔,19720,蹽水
13447,蹽溪仔,19721,蹽溪
13455,㨨,9430,揫
13457,𠯗一下,19584,溼一下
13500,𥐵,11214,盤仔
13500,𥐵,13501,𥐵仔
13545,㴘麵,19162,煮麵
13549,㧒,4989,挕
13549,㧒,12480,擲
13562,必痕,13646,必巡
13565,㴙㴙落,18968,捷捷落
13578,寢,3975,拄才
13578,寢,18443,拄仔
13615,一口灶,19750,一戶
13620,山空,389,山洞
13620,山空,19753,山空仔
13640,枷車藤,19754,蒜茸枝
13640,枷車藤,19755,索仔股
13640,枷車藤,19756,索仔條
13646,必巡,13562,必痕
13650,伨頭,19761,伨重
13655,考試單,2668,考卷
13655,考試單,19762,考試紙
13659,扳仔,19764,十扳仔
13659,扳仔,19765,死扳仔
13659,扳仔,19766,活扳仔
13665,事事項項,19770,逐項代誌
13684,拜六,19780,禮拜六
13685,拜請,14077,呼請
13695,個外月,869,月外日
13695,個外月,19783,一個外月
13695,個外月,19784,一月外日
13701,捎無摠,7386,掠無頭摠
13701,捎無摠,19785,捎無頭摠
13701,捎無摠,19786,捎無摠頭
13707,紙敬,19787,香奠
13721,捽繩,19793,彈繩
13730,終其尾,7859,歸尾
13730,終其尾,19806,終歸尾
13733,鹿角龜,19807,戰甲蟲
13733,鹿角龜,19808,獨角龜仔
13733,鹿角龜,19809,獨角金龜
13737,掣一趒,19810,驚一趒
13739,棧間,5700,倉庫
13739,棧間,19811,棧房
13741,湢,10150,遏
13743,無捨施,19812,無捨無施
13748,發財仔車,19814,發財仔
13749,發輦,19815,起輦
13754,硩年錢,5387,紅包
13754,硩年錢,19816,過年錢
13755,窗仔簾,19817,窗簾仔
13755,窗仔簾,19818,窗仔門簾
13758,菜販仔,19821,賣菜的
13760,開聲,4157,放聲
13763,剾痧,7387,掠痧
13763,剾痧,14202,挽筋
13763,剾痧,18970,掠痧筋
13765,塗沙粉,9389,塗粉
13765,塗沙粉,19823,塗粉仔
13765,塗沙粉,19824,塗沙粉仔
13768,塗糜,10635,漉糊糜
13768,塗糜,13104,爛塗
13768,塗糜,13105,爛塗糜
13768,塗糜,19412,漉糊仔糜
13768,塗糜,19826,爛溝仔糜
13768,塗糜,19827,塗糊糜
13775,煞尾仔囝,3074,尾仔囝
13775,煞尾仔囝,5905,屘仔
13775,煞尾仔囝,5912,屘囝
13775,煞尾仔囝,19833,煞尾的
13784,跤捗,10128,跤蹄
13798,對頭親,19835,親家門風
13798,對頭親,19836,門風相對
13820,蔭瓜仔,19841,蔭瓜
13823,調羹仔,8552,湯匙仔
13828,澹水地,19844,湳仔
13828,澹水地,19845,湳地
13830,貓貓相,19846,貓貓看
13831,頭轉客,12626,轉外家
13831,頭轉客,19847,頭倒客
13847,藥水布,19851,白布條
13848,顛倒反,5726,倒反
13848,顛倒反,10450,對反
13848,顛倒反,12931,顛倒
13849,觸纏,13270,纓纏
13854,鹹梅,19853,鹹梅仔
13854,鹹梅,19854,梅仔干
13856,攑頭香,9553,搶頭香
13856,攑頭香,9554,搶頭標
13857,譴損,19855,建古
13857,譴損,19856,徼兆
13863,𤺪雨,19861,麵線雨
13870,一必一中,19869,準準準
13888,大目孔,13983,目孔
13899,砂馬仔,19884,跤仙
13899,砂馬仔,19885,白扇仔
13899,砂馬仔,19886,山尾仔
13899,砂馬仔,19887,白跤擛仔
13899,砂馬仔,19888,山馬仔
13900,中中仔,727,中等
13900,中中仔,13901,中範
13900,中中仔,19889,中範仔
13901,中範,727,中等
13901,中範,13900,中中仔
13901,中範,19890,中範仔
13906,反形,1045,反常
13906,反形,19893,反相
13919,手爪賤,854,歹手爪
13919,手爪賤,19900,手蹄賤
13919,手爪賤,19901,歹手癖
13921,手後曲,19902,手後彎
13921,手後曲,19903,手後蹬
13943,水濺仔,10628,漩桶
13943,水濺仔,19915,水濺
13945,火車母,13946,火車頭
13945,火車母,19916,機關車
13952,牛聲馬喉,19924,牛聲馬吼
13952,牛聲馬喉,19925,牛聲馬叫
13953,王梨酥,19926,冬瓜酥
13958,冊疊仔,19933,苴枋
13959,冬粉,19934,東粉
13969,央倩,5925,差教
13969,央倩,13970,央教
13969,央倩,19945,央叫
13970,央教,5925,差教
13970,央教,13969,央倩
13970,央教,19945,央叫
13971,布幼仔,1815,布頭
13971,布幼仔,19946,布尾
13972,布攄仔,19947,拖布
13972,布攄仔,19948,布拖仔
13992,交纏,13270,纓纏
13992,交纏,13849,觸纏
13993,冰礤,19956,冰絞
13994,合該,10113,該當
13994,合該,12174,應該
13994,合該,24949,應當
13995,囡仔頭王,19957,囡仔王
13995,囡仔頭王,19958,囡仔頭
14004,好死毋死,964,毋拄好
14004,好死毋死,8609,無拄好
14004,好死毋死,9057,註死
14016,百百款,19974,百百種
14020,竹篙厝,19976,店頭厝
14022,老孤𣮈,3823,孤𣮈絕種
14032,行船人,19985,行船客
14033,行跤花,2724,行徙
14033,行跤花,24868,散步
14037,佗落,2894,佗位
14037,佗落,19986,佗落仔
14053,李仔攕,19994,李仔糖
14053,李仔攕,19995,鳥梨仔攕
14053,李仔攕,19996,鳥梨仔糖
14056,罕罕仔,19997,久久仔
14057,育𤆬,3344,育
14057,育𤆬,12927,騙
14057,育𤆬,13511,𤆬
14064,走無路,19999,閃無路
14065,走腹,1108,歹腹肚
14065,走腹,9923,落屎
14065,走腹,19621,瀉腹
14068,走縒,3488,走精
14068,走縒,5153,歪斜
14069,辛苦病疼,20003,身苦病疼
14071,車母,13945,火車母
14071,車母,13946,火車頭
14071,車母,19916,機關車
14072,車前草,20005,五根草
14077,呼請,13685,拜請
14078,咇噗跳,20007,噗噗跳
14078,咇噗跳,20008,咇噗惝
14078,咇噗跳,20009,噗噗惝
14079,和齊,2244,同齊
14089,抾肉幼仔,20017,抾肥肉
14091,拆白講,20019,講較白咧
14092,拍火,7326,救火
14100,果子栽,20022,果子栽仔
14102,炊粉,20026,幼米粉
14103,狀元粿,20027,竹筒粿
14106,空思夢想,20029,癡思夢想
14106,空思夢想,20030,烏白想
14107,空殼厝,4391,空厝間
14107,空殼厝,20031,空厝
14112,花蛤仔,20032,花蛤
14118,長篙形,4585,長株形
14124,侵門踏戶,20045,入門踏戶
14140,挑花刺繡,20054,做針黹
14142,枵飢失頓,20055,失頓枵飢
14143,枵過飢,20056,枵了過飢
14161,美國塗豆,20064,發財樹
14164,苦花,20065,苦倚
14164,苦花,20066,石頭倚
14164,苦花,20067,齊頭倚
14169,面冊,20072,人面冊
14170,面腔,5588,面色
14170,面腔,5616,面容
14170,面腔,5657,面貌
14172,面模,5665,面模仔
14172,面模,10944,鼻目喙
14172,面模,18695,面框
14192,厝尾頂,5837,厝頂
14212,烏子仔菜,6279,烏甜仔菜
14212,烏子仔菜,18799,烏鬼仔菜
14217,珠仔龜,20078,花點龜仔
14218,病母,20079,病底
14220,眩車丹,20080,眩車藥仔
14226,笑詼齣,20083,爆笑劇
14234,草仔子,20088,草子
14243,袂曉衰,6642,袂見笑
14243,袂曉衰,20097,袂曉通衰
14243,袂曉衰,20098,袂曉見笑
14243,袂曉衰,20099,袂見袂笑
14243,袂曉衰,20100,毋知見笑
14247,起酒痟,20103,起酒狂
14248,起蛟龍,6211,海漲
14248,起蛟龍,20104,滾蛟躘
14248,起蛟龍,20105,大海漲
14252,酒矸仔嫂,20108,酒女
14252,酒矸仔嫂,20109,酒家女
14253,馬花糋,20110,馬蹄糋
14261,剪仔龜,20114,鉸刀蟲
14261,剪仔龜,20115,鉸刀龜仔
14262,剪絨仔花,20116,剪絨
14262,剪絨仔花,20117,剪絨花
14269,寄跤,20121,寄居
14269,寄跤,20122,寄蹛
14269,寄跤,20123,寄徛
