詞目id,漢字,羅馬字
4861,度小月,tōo-sió-gua̍t
4876,屎桮齒,sái-pe-khí
4877,封條,pang-tiâu
4916,後代,hiō-tāi
4921,後母,āu-bó
4923,後母面,āu-bó-bīn
4946,扁食,phián-si̍t
4950,後悔,hōo-hué
4966,怎樣,tsáinn-iūnn
4967,後輩,āu-puè
4969,扁擔,pín-tann
4998,曷,ia̍h
5013,曷使,ia̍h-sái
5016,昨昏,tsa̍h-hng
5022,按怎,án-nuá
5022,按怎,án-ná
5031,按脈,àn-be̍h
5040,曷著,ia̍h-tio̍h
5046,春節,tshun-tsiat
5050,故障,kòo-tsiòng
5052,挑戰,thiau-tsiàn
5060,政權,tsìng-kuân
5079,某乜人,móo-mí-lâng
5105,查埔,ta-poo
5108,查埔囡仔,ta-poo gín-á
5137,洘旱,khò-huānn
5162,洘頭糜,khó-thâu-muâi
5180,流水,liû-suí
5180,流水,lâu-suí
5193,活動,ua̍h-tōng
5204,炸彈,tsà-tân
5205,活潑,ua̍t-phuat
5220,癸,kuì
5225,相,siang
5226,相,siàng
5229,相𫝛,sio-siâng
5231,相公,siùnn-kang
5234,相仝,sio-kâng
5242,相見,sann-kìnn
5252,相爭,sann-tsenn/sann-tsinn
5266,相捌,sio-pat
5281,珊瑚,suan-lôo
5294,相輸,sann-su
5300,相嚷,sio-jióng
5336,秋凊,tshio-tshìn
5337,科員,kho-guân
5348,突然,thu̍t-jiân/thu̍t-liân
5358,砒霜,phînn-sng
5384,紅毛塗,âng-bûn-thôo
5390,耐用,nāi-īng
5426,胃潰瘍,uī-huì-iông
5426,胃潰瘍,uī-huī-iông
5454,茂,ām
5486,若親像,ná-tshan-tshiūnn
5537,計程車,kè-tîng-tshia
5537,計程車,khè-thîng-tshia
5554,計謀,kè-biô
5584,食奶,tsia̍h-lin
5591,飛行機,hui-lîng-ki
5591,飛行機,pue-lîng-ki
5602,食物,tsia̍h-mi̍h/tsia̍h-mn̍gh
5603,風雨,hong-hōo
5617,食家己,tsia̍h-ka-tī
5634,飛鳥,hui-niáu
5641,香菇肉糜,hiunn-koo-bah-muâi
5732,借用,tsioh-īng
5750,候脈,hāu-be̍h
5774,候選人,hiō-suán-jîn/hiō-suán-lîn
5780,凊糜,tshìn-muâi
5791,員,guân
5800,哼,--hmh
5813,哪未,nà buē/nà bē
5827,哭爸哭母,khàu-pē-khàu-bó
5831,哥哥,ko-ko
5899,家己,ka-tī
5900,家己人,ka-tī-lâng
5907,師兄,sai-hiann
5909,師母,su-bó
5925,差教,tshe-kah
5929,展開,tián-khui
5936,宮廟,kiong-biō
5958,挐,jî
5970,恩情,in-tsîng
5975,恩愛,in-ài
5977,挐氅氅,jî-tsháng-tsháng
5979,拳頭拇,kûn-thâu-bó
5993,捌,pat
5998,捗,pô
6001,揤,ji̍h
6015,捌字,pat-jī/pat-lī
6032,挽脈,bán-be̍h
6045,捌貨,pat-huè/pat-hè
6052,捌想,pat-siūnn
6056,揤電鈴,ji̍h tiān-lîng
6070,捙輾斗,tshia-lìn-táu
6078,書,si
6122,柴梳,sâ-se
6126,核能,hu̍t-lîng
6150,欱,hop
6164,桔仔,kit-á
6175,海岸,hái-gān
6189,海翁,hái-iang
6191,浮動,phû-thām
6192,海參,hái-sam
6192,海參,hái-som
6193,泰國菝仔,Thài-kok-pa̍t-á
6198,海產糜,hái-sán-muâi
6211,海漲,hái-tiùnn
6239,烏毛,oo-mng
6278,烏梅仔酒,oo-muâi-á-tsiú
6306,烏漉肚,oo-lo̍k-tōo
6321,烏貓姊仔,oo-niau-tsé--á
6325,烏龍仔,oo-lîng-á
6331,特權,ti̍k-kuân
6332,狼,liông
6355,狼狽,liông-puē
6389,眠床,mn̂g-tshn̂g
6398,祕書,pì-si
6409,破開,phuà-khui
6420,破壞,phò-hāi
6435,神主牌仔,sîn-tsí-pâi-á
6505,耙柫,pê-kut
6520,紗窗,sua-thang
6530,脈,be̍h
6533,舐,tsn̄g
6533,舐,tsī
6553,臭奶呆,tshàu-lin-tai
6554,茭白筍,ka-pe̍h-sún
6598,臭腥公,tshàu-tshènn-kong/tshàu-tshìnn-kong
6636,袂用得,bē-īng-tsit/buē-īng-tsit
6636,袂用得,bē-īng-lit/buē-īng-lit
6636,袂用得,bē-īng-eh/buē-īng-eh
6643,袂使,bē-saih/buē-saih
6644,袂使得,bē-saih-tsit/buē-saih-tsit
6644,袂使得,bē-saih-lit/buē-saih-lit
6644,袂使得,bē-saih-eh/buē-saih-eh
6646,荔枝,lāi-tsi
6652,袂記得,bē-kì-tsit/buē-kì-tsit
6652,袂記得,bē-kì-lit/buē-kì-lit
6652,袂記得,bē-kì-eh/buē-kì-eh
6655,袂堪得,bē-kham-tsit/buē-kham-tsit
6655,袂堪得,bē-kham-lit/buē-kham-lit
6655,袂堪得,bē-kham-eh/buē-kham-eh
6660,袂曉,bē-hiáng/buē-hiáng
6663,袂講得,bē-kóng-tsit/buē-kóng-tsit
6663,袂講得,bē-kóng-lit/buē-kóng-lit
6663,袂講得,bē-kóng-eh/buē-kóng-eh
6727,訕削,suan-siah
6734,起凊瘼,khí-tshìn-mooh
6747,起程,khí-tîng
6758,起碇,khí-tiànn
6770,訕潲,suan-siâu
6772,起碼,khí-bé
6781,起雞母皮,khí-ke-bú-phuê/khí-kue-bú-phê
6806,馬上,má-siāng
6818,除名,tî-miâ
6826,高尚,ko-siōng
6863,閃開,siám-khui
6882,鬥鬧熱,tàu-nāu-jia̍t/tàu-nāu-lia̍t
6901,高麗參,ko-lê-sam
6901,高麗參,ko-lê-som
6910,偌,juā
6910,偌,luā
6977,做莊,tsò-tsng/tsuè-tsng
6979,偷提,thau-thue̍h
6979,偷提,thau-e̍h
6988,偌爾,juā-nī
6988,偌爾,luā-nī
6998,偌濟,juā-tsē/juā-tsuē
6998,偌濟,luā-tsē/luā-tsuē
7032,參仔,sam-á
7032,參仔,som-á
7042,動員,tōng-guân
7045,參茸,som-jiông/som-liông
7048,區域,khu-i̍k
7058,參詳,tsham-siâng
7061,商標,siong-piau
7068,啥,sánn
7092,夠用,kàu-iōng
7101,啥物,siánn-mi̍h
7144,將才,tsiàng-tsâi
7173,專權,tsuan-kuân
7184,得人疼,tik-lâng-thiànn
7185,得人惜,tik-lâng-sioh
7191,得失,tit-sit
7207,康健,khong-kiānn
7216,得勢,tik-sè
7217,得意,tit-ì
7220,得罪,tit-tsuē
7221,帶領,tài-niá
7271,悽慘,tshinn-tshám
7272,悽慘落魄,tshinn-tshám-lo̍k-phik
7273,惜福,sioh-hok
7276,情緒,tsîng-sû
7315,掮,kháinn
7323,掛心,kuà-sim
7334,採用,tshái-īng
7340,推行,tshui-hîng
7350,掃帚,sàu-tsiú
7350,掃帚,sàu-siú
7352,掃帚星,sàu-tsiú-tshenn/sàu-tsiú-tshinn
7352,掃帚星,sàu-siú-tshenn/sàu-siú-tshinn
7356,掩咯雞,am-ko̍k-ke/am-ko̍k-kue
7359,教員,kàu-guân
7383,推測,tshui-tshik
7390,推進,tshui-tsìn
7393,掛意,kuà-ì
7404,推廣,tshui-kóng
7405,掛慮,kuà-lī/kuà-lū
7406,推撨,thui-tshiâu
7407,推論,tshui-lūn
7408,推銷,tshui-siau
7420,掛礙,kuà-gāi
